business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Catalyst Centre for speech therapy, Occupational Therapy, Autism Wellness centre",Therapy Center,Occupational therapist,"Occupational therapist, Learning center, Speech & Hearing Specialist, Physiotherapy Center, Playgroup, Psychologist, Special education school",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 85473 54813,https://www.catalystcst.in/,4.9,243.0,"Adichira Ammancheri Rd, Ammanchery, Perumbaikad, Keralam 686630",Ammanchery,9.6358914,76.5383038,ChIJB9noQ63UBzsRm8btlw97Ea8,https://www.google.com/maps/place/?q=place_id:ChIJB9noQ63UBzsRm8btlw97Ea8,part_302,2026-09-20 20:16:59,2952
Hapinus Care | Psychologists in Kottayam | Counseling Center,Therapy Center,Psychologist,"Psychologist, Child psychologist, Hypnotherapy service, Mental health service, Neuropsychologist",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 92070 75151,https://hapinuscare.com/psychology-counselling-center-kottayam/,5.0,184.0,"1st Floor , Thoppil Complex, M M Nager, Puthuppally Rd, P.O, Kanjikuzhi, Kottayam, Keralam 686004","P.O, Kanjikuzhi",9.5865647,76.5442291,ChIJfxKehjFLBjsRJKGtngMi6AU,https://www.google.com/maps/place/?q=place_id:ChIJfxKehjFLBjsRJKGtngMi6AU,part_302,2026-09-20 20:16:59,2953
Moksha Mind Clinic | Dr. Jose Kuncheria | Psychologist Kottayam | Family Counselling Centre Kottayam,Therapy Center,Psychologist,"Psychologist, Child psychologist, Family counselor",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 82817 30263,N/A,4.9,191.0,"Pattithanam P.O, near Ratnagiri church, Ettumanoor, Keralam 686631",686603,9.697915799999999,76.56293389999999,ChIJD4djuZPTBzsRtGe4z2PzjhE,https://www.google.com/maps/place/?q=place_id:ChIJD4djuZPTBzsRtGe4z2PzjhE,part_302,2026-09-20 20:16:59,2954
Elemental Speech and Communication Centre,Therapy Center,Child health care center,"Child health care center, Rehabilitation center",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 89434 54944,https://elementalspeech.in/,4.9,,"By-Pass Road, Kottayam Medical College Bypass Rd, Gandhi Nagar, Kottayam, Perumbaikad, Keralam 686008",Gandhi Nagar,9.6298204,76.5306722,ChIJjTjJ424vBjsR5-hrrf6KKf8,https://www.google.com/maps/place/?q=place_id:ChIJjTjJ424vBjsR5-hrrf6KKf8,part_302,2026-09-20 20:16:59,2955
Life Centre For Child Development and Rehabilitation - Best Child Development & Rehabilitation Center,Therapy Center,Occupational therapist,"Occupational therapist, Physiotherapist, Psychologist, Special education school, Special educator, Speech & Hearing Specialist",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94003 16103,http://www.lifeautismcentre.com/,4.9,,"Chirayil Complex, Kudayampady, Kudamaloor, Kottayam, Keralam 686017","Kudayampady, Kudamaloor",9.614550399999999,76.5080116,ChIJN9pnINsrBjsRaDUHN3qAwNg,https://www.google.com/maps/place/?q=place_id:ChIJN9pnINsrBjsRaDUHN3qAwNg,part_302,2026-09-20 20:16:59,2956
Life Care Counselling Centre,Therapy Center,Speech & Hearing Specialist,"Speech & Hearing Specialist, Child psychiatrist, Counselor, Family counselor, Psychiatrist, Psychologist, Psychotherapist, Special educator, Mental health service, Student career counseling office",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,http://www.lifecarecounselling.in/,4.7,227.0,"Perumalil Buildings, Kinattumoodu Bus Stop, P.O, Peroor, Keralam 686637",Peroor,9.6292735,76.5604163,ChIJXdbz0j0tBjsRDEgL_F3-n_g,https://www.google.com/maps/place/?q=place_id:ChIJXdbz0j0tBjsRDEgL_F3-n_g,part_302,2026-09-20 20:16:59,2957
Jewel Autism Centre and Child Developmental Centre,Therapy Center,Occupational therapist,"Occupational therapist, Child health care center, Child psychologist, Children's hospital, Special education school, Speech & Hearing Specialist, Training center",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 97454 51747,http://www.jewelautismcentre.com/,4.8,,"Jewel Autism And Child Development Centre ,Cheriyapally Hospital Buildings Ooppoottil Kavala, Chalukunnu, Kottayam, Keralam 686001",Chalukunnu,9.5950092,76.5103247,ChIJV2fi7KErBjsRcicmhHIqsFY,https://www.google.com/maps/place/?q=place_id:ChIJV2fi7KErBjsRcicmhHIqsFY,part_302,2026-09-20 20:16:59,2958
"Akash Mohan | Clinical Psychologist | Kothanalloor, Kottayam",Therapy Center,Psychologist,Psychologist,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 82811 52797,https://www.linkedin.com/in/akash-mohan-78a254a3?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,5.0,23.0,"In-house Consultation, Kothanalloor, Keralam 686632",686603,9.7172463,76.5194326,ChIJ7YyVRqHVBzsRklwRYHSdaFc,https://www.google.com/maps/place/?q=place_id:ChIJ7YyVRqHVBzsRklwRYHSdaFc,part_302,2026-09-20 20:16:59,2959
PHYSIOTHERAPY EVENING CLINIC,Therapy Center,Physiotherapy Center,Physiotherapy Center,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94478 58676,N/A,,,"SH 1, Vempally, Keralam 686633",686603,9.7193522,76.5600954,ChIJHRUS_RrTBzsRBhMiAmFhMD8,https://www.google.com/maps/place/?q=place_id:ChIJHRUS_RrTBzsRBhMiAmFhMD8,part_302,2026-09-20 20:16:59,2960
Santhi Tribal Treatment Centre,Therapy Center,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,,"MGJ5+42J, Neendoor, Kerala 686601",686603,9.680339199999999,76.5075123,ChIJK2y7MVTUBzsRt3PJiN5SPkY,https://www.google.com/maps/place/?q=place_id:ChIJK2y7MVTUBzsRt3PJiN5SPkY,part_302,2026-09-20 20:16:59,2961
Anugraha School and Rehabilitation Centre,Therapy Center,Educational institution,Educational institution,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,,"MGPR+RC2, Kottayam, Keralam 686562",686603,9.687003599999999,76.5410218,ChIJfdI9UQDVBzsRGy5rELVK5UY,https://www.google.com/maps/place/?q=place_id:ChIJfdI9UQDVBzsRGy5rELVK5UY,part_302,2026-09-20 20:16:59,2962
Blossom Valley Child Development Centre ബ്ലോസ്സം വാലി ചൈൽഡ് ഡെവലപ്മെൻ്റ് സെൻ്റർ,Therapy Center,Occupational therapist,"Occupational therapist, Special educator, Speech & Hearing Specialist",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 70127 27070,https://www.blossomvalleytherapycentre.com/,4.9,,"HJ5Q+85P, Pothenpuram, Dayara Rd, Pampady, Keralam 686502",686603,9.5584924,76.638195,ChIJGRlOry0tBjsR2UnZh09M6Cs,https://www.google.com/maps/place/?q=place_id:ChIJGRlOry0tBjsR2UnZh09M6Cs,part_302,2026-09-20 20:16:59,2963
Spark Rehabilitation Centre,Therapy Center,Association / Organization,Association / Organization,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94470 77165,https://www.sparkrehab.co.in/,5.0,33.0,"Kollad, Kottayam, Keralam 686004",Kollad,9.5573651,76.5363263,ChIJ6R1cVwArBjsRyzylluqxbBU,https://www.google.com/maps/place/?q=place_id:ChIJ6R1cVwArBjsRyzylluqxbBU,part_302,2026-09-20 20:17:00,2964
Revive Deaddiction and Mind Health,Therapy Center,Rehabilitation center,"Rehabilitation center, Addiction treatment center, Alcoholism treatment program, Mental Hospital, Mental health service, Psychiatrist, Psychologist, Psychotherapist, Psychiatric hospital",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 89438 61636,https://www.revivemindhealth.com/,4.9,714.0,"Koothattukulam - Vazhithala Rd, Thodupuzha, Vazhithala, Keralam 685583",686603,9.883155799999999,76.6418925,ChIJExhykEzFBzsRlM1wl9LgzkQ,https://www.google.com/maps/place/?q=place_id:ChIJExhykEzFBzsRlM1wl9LgzkQ,part_302,2026-09-20 20:17:00,2965
Sravana Speech & Hearing Center | Hearing Aids | Since-1995,Therapy Center,Speech & Hearing Specialist,"Speech & Hearing Specialist, Doctor",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94470 41852,https://www.sravanarehab.com/,4.7,247.0,"Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.587199799999999,76.54130789999999,ChIJm61sloMrBjsR2Ncjt3prUc0,https://www.google.com/maps/place/?q=place_id:ChIJm61sloMrBjsR2Ncjt3prUc0,part_302,2026-09-20 20:17:00,2966
Leela Hospital,Therapy Center,Psychiatric hospital,"Psychiatric hospital, Addiction treatment center, Mental Hospital, Mental health service",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94476 07592,http://www.psychiatryhospitalkerala.com/,4.1,120.0,"Leela Hospital, Narimattom Kavala, P.O, Pariyaram, Keralam 686021",Pariyaram,9.5423909,76.5977025,ChIJMxPWrX0uBjsRu-V6X2cYM2c,https://www.google.com/maps/place/?q=place_id:ChIJMxPWrX0uBjsRu-V6X2cYM2c,part_302,2026-09-20 20:17:00,2967
Mochana De-Addiction & Counselling Center,Therapy Center,Alcoholism treatment program,"Alcoholism treatment program, Counselor, Rehabilitation center",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 257 1702,http://www.mochanakottayam.blogspot.in/,4.2,17.0,"Bethel Marthoma Church, Manganam, Kottayam, Keralam 686018",Manganam,9.567885799999999,76.5594614,ChIJ_3LGr-pCVBARloZ2bXt9APU,https://www.google.com/maps/place/?q=place_id:ChIJ_3LGr-pCVBARloZ2bXt9APU,part_302,2026-09-20 20:17:00,2968
Homecare physiotherapy kuravilangad,Therapy Center,Physiotherapist,Physiotherapist,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,https://www.instagram.com/healthathome_kl05?igsh=c2JqenZibjV5NXFq,5.0,,"Jaigiri line, Thottuva, Kuravilangad, Kerala 686633",686603,9.7552538,76.5444127,ChIJI-oKq2jXBzsR2Ffmo9Am3fA,https://www.google.com/maps/place/?q=place_id:ChIJI-oKq2jXBzsR2Ffmo9Am3fA,part_302,2026-09-20 20:17:01,2969
HGM Hospital - Ave Sound Clinic ( Audiology & Speech Therapy Department),Therapy Center,Hearing aid store,Hearing aid store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 96323 51600,http://www.avesoundclinic.com/,4.7,14.0,"Audiology & Speech Therapy Department, Holy Ghost Mission Hospital, Muttuchira, Kaduthuruthy, Keralam 686613",686603,9.7572188,76.49972819999999,ChIJ7a0OgsfXBzsRBrPpGgPdo9Y,https://www.google.com/maps/place/?q=place_id:ChIJ7a0OgsfXBzsRBrPpGgPdo9Y,part_302,2026-09-20 20:17:01,2970
Hari's Physiotherapy clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 62383 15948,N/A,5.0,,"Thekkedathu, Kaduthuruthy, Keralam 686604",686604,9.7689915,76.5120525,ChIJtbXKLQDXBzsRhizku9Umv1U,https://www.google.com/maps/place/?q=place_id:ChIJtbXKLQDXBzsRhizku9Umv1U,part_302,2026-09-20 20:17:37,6173
Jawahar de-addiction centre,Therapy Center,Mental health service,Mental health service,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,http://www.jawaharcentre.com/,5.0,6.0,"QCJP+HGM, Thalayolaparambu, Keralam 686605",686604,9.781453899999999,76.43629349999999,ChIJRVPG-IF5CDsR3LS9R3-Y154,https://www.google.com/maps/place/?q=place_id:ChIJRVPG-IF5CDsR3LS9R3-Y154,part_302,2026-09-20 20:17:37,6174
Ennakkathara Ayurveda and Physiotherapy,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Ayurvedic clinic, Psychologist",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 81119 46999,http://www.ennakkathara.com/,5.0,,"Vaikom Road, opposite KR Auditorium, near Carnival Nice Theatre, Thalayolaparambu, Keralam 686605",686604,9.7868622,76.4411894,ChIJYxpuayd5CDsRS2H6WpPYds8,https://www.google.com/maps/place/?q=place_id:ChIJYxpuayd5CDsRS2H6WpPYds8,part_302,2026-09-20 20:17:37,6175
Guru centre for counselling and yoga,Therapy Center,Psychologist,Psychologist,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,,,"Maliyackal house, karipadam p.o, Thalayolaparambu, Velloor, Keralam 686605",karipadam p.o,9.796146199999999,76.435643,ChIJB3f25rR5CDsRJ8Fni80rRUo,https://www.google.com/maps/place/?q=place_id:ChIJB3f25rR5CDsRJ8Fni80rRUo,part_302,2026-09-20 20:17:37,6176
Jawaharlal Memorial Social Welfare & Public Cooperation Centre,Therapy Center,Association / Organization,Association / Organization,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 4829 236 175,http://jawaharcentre.com/,4.7,,"Jawaharlal memorial social welfare and public cooperation centre, Thalayolaparambu, Keralam 686605",686604,9.7877353,76.444414,ChIJN0oX1xF4CDsRv0zidKLzlVM,https://www.google.com/maps/place/?q=place_id:ChIJN0oX1xF4CDsRv0zidKLzlVM,part_302,2026-09-20 20:17:37,6177
Ayursoukhyam Ayurveda Wellness Centre,Therapy Center,Ayurvedic clinic,Ayurvedic clinic,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 85472 56254,N/A,5.0,,"RFGM+WR2, Manakkappady, Karikode, Peruva, Keralam 686610",Karikode,9.8272592,76.4845003,ChIJJ9UZ2zTYBzsRoiwtKuXUnr4,https://www.google.com/maps/place/?q=place_id:ChIJJ9UZ2zTYBzsRoiwtKuXUnr4,part_302,2026-09-20 20:17:37,6178
