business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Dialysis Centre, General Hospital, Alappuzha",Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,4.5,4.0,"F8RQ+FQ2, Chungam, Alappuzha, Keralam 688011",Chungam,9.491148599999999,76.3393861,ChIJCVlpYPOECDsR6UBjlTQuXeo,https://www.google.com/maps/place/?q=place_id:ChIJCVlpYPOECDsR6UBjlTQuXeo,part_303,2026-09-20 20:16:45
Dialysis Unit - KMC Hospital Chenganoor,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 75608 49759,http://www.drkmcims.com/specialities/department-of-nephrology/,4.6,33.0,"8HMV+5F, Kallissery, Pandanad part, Keralam 689124",688009,9.3329869,76.5941081,ChIJgYVQoTcjBjsRLw6LsDBQunI,https://www.google.com/maps/place/?q=place_id:ChIJgYVQoTcjBjsRLw6LsDBQunI,part_303,2026-09-20 20:16:46
Seethi Haji Dialysis Centre,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,https://shcctrust.com/,5.0,1.0,"648Q+9C9, Edavanna, Kerala 676541",688009,11.215686,76.138373,ChIJr8hCPgA5pjsRUShFll7RW4g,https://www.google.com/maps/place/?q=place_id:ChIJr8hCPgA5pjsRUShFll7RW4g,part_303,2026-09-20 20:16:46
Dr SHABEER M Nephrologist,Dialysis Center,Nephrologist,Nephrologist,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,5.0,,"General Hospital Rd, Anantha Narayanapuram, Alappuzha, Keralam 688011",Anantha Narayanapuram,9.4886494,76.3401817,ChIJ617RqcCFCDsRk9oc2OZ_Gf8,https://www.google.com/maps/place/?q=place_id:ChIJ617RqcCFCDsRk9oc2OZ_Gf8,part_303,2026-09-20 20:16:46
Dr. Shabeer Mohammed's Nephrology clinic,Dialysis Center,Nephrologist,Nephrologist,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98954 33428,N/A,5.0,,"Prayar Road, Pandanad, Kayamkulam, Keralam 690502",688009,9.168785,76.4968383,ChIJ4ajG6m4dBjsRu0drxUGtK5w,https://www.google.com/maps/place/?q=place_id:ChIJ4ajG6m4dBjsRu0drxUGtK5w,part_303,2026-09-20 20:16:46
Samuhya Dialysis Centre,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,http://www.elamakkarasamuhyacs.com/dialysis.php,5.0,3.0,"BUS STOP, opposite PERANDOOR, Perandoor, Elamakkara, Kochi, Ernakulam, Keralam 682026","Perandoor, Elamakkara",10.0182557,76.2846141,ChIJw__v0XINCDsRhOMt4mqumNk,https://www.google.com/maps/place/?q=place_id:ChIJw__v0XINCDsRhOMt4mqumNk,part_303,2026-09-20 20:16:46
Peringottukara Dialysis Centre,Dialysis Center,Hospital,Hospital,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 487 239 5595,http://www.peringottukaradialysiscentre.com/,4.0,,"Thanniyam, Keralam 680565",688009,10.414905599999999,76.13088119999999,ChIJf8GDGXjzpzsRGi7TuDeXIKQ,https://www.google.com/maps/place/?q=place_id:ChIJf8GDGXjzpzsRGi7TuDeXIKQ,part_303,2026-09-20 20:16:46
Sankar's Institute of Medical Education,Dialysis Center,Local medical services,Local medical services,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94472 25340,https://sankarsinstitute.com/,4.0,,"Near, General Hospital Rd, JN, Alappuzha, Keralam 688011",JN,9.4900875,76.3394685,ChIJof46ZgmFCDsRezygovdV-wg,https://www.google.com/maps/place/?q=place_id:ChIJof46ZgmFCDsRezygovdV-wg,part_303,2026-09-20 20:16:46
Thannal palliative care and dialysis centre,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94471 67385,N/A,4.5,4.0,"4F82+269, Mudickal, Marampally, Keralam 683547",688009,10.1149978,76.4505214,ChIJYSAO_MwJCDsR4pr3CQJSlwM,https://www.google.com/maps/place/?q=place_id:ChIJYSAO_MwJCDsR4pr3CQJSlwM,part_303,2026-09-20 20:16:46
Fresenius Medical Care Dialysis Center (NU Hospital),Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 93113 18581,https://www.freseniuskidneycare.asia/?utm_source=gmb&utm_medium=organic&utm_campaign=listing,4.9,58.0,"6 15Th Main, 11th Cross Rd, Padmanabhanagar, Bengaluru, Karnataka 560070","Siddanna Layout, Banashankari 2nd Stage, Padmanabhanagar",12.922423,77.566664,ChIJ3cXPYbU_rjsRADKWG8y9b8M,https://www.google.com/maps/place/?q=place_id:ChIJ3cXPYbU_rjsRADKWG8y9b8M,part_303,2026-09-20 20:16:46
Shihab Thangal Dailysis Center,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,4.5,2.0,"V3PF+7QC, Vadakancheri, Valanchery, Keralam 676552",Vadakancheri,10.8856786,76.0743871,ChIJ99cQa8u3pzsRK2bpfTC4IBU,https://www.google.com/maps/place/?q=place_id:ChIJ99cQa8u3pzsRK2bpfTC4IBU,part_303,2026-09-20 20:16:46
Santhi Dialysis Center,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 81118 88715,N/A,5.0,1.0,"2nd Floor- Shifa Hospital, Kallampara, PO. Perumugham, Kadalundi Road, Feroke, Keralam 673631",688009,11.159210199999999,75.8491579,ChIJse7IzK1RpjsRm6ReFpDHGGw,https://www.google.com/maps/place/?q=place_id:ChIJse7IzK1RpjsRm6ReFpDHGGw,part_303,2026-09-20 20:16:46
Swami Vivekananda Foundation,Dialysis Center,Dialysis center,Dialysis center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,5.0,3.0,"opp. Police Aid Post, Thottumkalpeedika, Muvattupuzha, Keralam 686661",Thottumkalpeedika,9.9863996,76.5768859,ChIJSdjUfmPnBzsRkGYwqXZ8Zx4,https://www.google.com/maps/place/?q=place_id:ChIJSdjUfmPnBzsRkGYwqXZ8Zx4,part_303,2026-09-20 20:16:46
NephroPlus Dialysis & Kidney Care Centre,Dialysis Center,Dialysis center,"Dialysis center, Hospital",688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 97471 91566,https://www.nephroplus.com/,5.0,1.0,"3rd Floor, Sahrudaya Hospital, Thondankulangara, Thathampally, Alappuzha, Kerala 688013","Thondankulangara, Thathampally",9.505287899999999,76.34191009999999,ChIJ9wGj8GeECDsRHW01XLIX7Z0,https://www.google.com/maps/place/?q=place_id:ChIJ9wGj8GeECDsRHW01XLIX7Z0,part_303,2026-09-20 20:16:46
