business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
CREATIVE - CCTV Camera Installation and Service Trivandrum,CCTV Installation and Security System,Security system installation service,"Security system installation service, Security system supplier",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94956 70847,https://www.creative-security.com/,4.9,76.0,"Creative Security Solutions, TC 15 / 1665(21), Krishna Prabha, near HDFC Bank, Vazhuthacaud, Thiruvananthapuram, Keralam 695014","DPI, Vazhuthacaud",8.4996402,76.9580881,ChIJD97hpcm7BTsRQkW0bauC6Ys,https://www.google.com/maps/place/?q=place_id:ChIJD97hpcm7BTsRQkW0bauC6Ys,part_310,2026-09-20 20:17:04,4976
Focus Surveillance & Security Systems,CCTV Installation and Security System,Security system installation service,Security system installation service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96337 86239,http://www.focuscctv.in/,4.9,115.0,"Homoeo College Opp kunnil hypermarket Nemom, PO, Thiruvananthapuram, Keralam 695020",695019,8.4597535,76.9960967,ChIJD1yZ0nKvBTsRPtm9fs1-19s,https://www.google.com/maps/place/?q=place_id:ChIJD1yZ0nKvBTsRPtm9fs1-19s,part_310,2026-09-20 20:17:04,4977
Serve eye Lens,CCTV Installation and Security System,Security system supplier,"Security system supplier, Home automation company, Security system installation service",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94968 88892,http://www.serveeyelens.com/,5.0,497.0,"T c 6/1516, Kochulloor, Medical College Ulloor Rd, P.O, Ulloor, Thiruvananthapuram, Keralam 695011","P.O, Kochulloor, Ulloor",8.5331166,76.9287232,ChIJMY-e8Ve9BTsRyKvsT2I_EP4,https://www.google.com/maps/place/?q=place_id:ChIJMY-e8Ve9BTsRyKvsT2I_EP4,part_310,2026-09-20 20:17:04,4978
TRIONET INFO SOLUTIONS,CCTV Installation and Security System,Security system supplier,"Security system supplier, Computer networking service, Computer security service, Computer service, Computer support and services, Home automation company, Security system installation service",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 495 426 6324,http://trionetinfo.com/,4.9,384.0,"TC 31/925, Pankaja Bhavan, Puthen Rd, Pettah, Thiruvananthapuram, Keralam 695024",Pettah,8.4935665,76.9268752,ChIJsYzycYW7BTsRwT_4RE-3FOo,https://www.google.com/maps/place/?q=place_id:ChIJsYzycYW7BTsRwT_4RE-3FOo,part_310,2026-09-20 20:17:04,4979
Cyber Tec IT Solutions,CCTV Installation and Security System,Security system installation service,Security system installation service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70129 51616,https://www.cybertecitsolutions.com/,5.0,5.0,"Ebenezer Building, TC. 14/2178(9), PIN- 695 034, Market Rd, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Keralam 695034","University of Kerala Senate House Campus, Palayam",8.5019557,76.9515842,ChIJy2O_onq7BTsRqCQ7Ndx6dK8,https://www.google.com/maps/place/?q=place_id:ChIJy2O_onq7BTsRqCQ7Ndx6dK8,part_310,2026-09-20 20:17:04,4980
"CCTV SERVICE, INSTALLATION",CCTV Installation and Security System,Repair service,Repair service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70120 22055,N/A,5.0,2.0,"Shastri Nagar, Poojapura, Thiruvananthapuram, Keralam 695012","Shastri Nagar, Poojapura",8.4863644,76.97613539999999,ChIJqb1xNvK7BTsR4FL52ZW_nK0,https://www.google.com/maps/place/?q=place_id:ChIJqb1xNvK7BTsR4FL52ZW_nK0,part_310,2026-09-20 20:17:04,4981
KR Tech & Security Systems,CCTV Installation and Security System,Security system supplier,"Security system supplier, Automation company, Electrician, Security guard service, Security system installation service, Solar Energy Company, Solar energy equipment supplier",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 95669 55668,https://www.krtechsolutions.in/,5.0,33.0,"no.15/5, Kamakshi nagar, behind BDO office, Walajapet, Tamil Nadu 632513",695019,12.931336499999999,79.3662484,ChIJuRYcYfo1rTsRzlhZB1UNc7o,https://www.google.com/maps/place/?q=place_id:ChIJuRYcYfo1rTsRzlhZB1UNc7o,part_310,2026-09-20 20:17:04,4982
Cctv Camera zone haldwani,CCTV Installation and Security System,Security system installation service,Security system installation service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96396 67284,N/A,4.6,19.0,"Lohariyasaal Talla, Unchapul, Haldwani, Uttarakhand 263139","Lohariyasaal Talla, Unchapul",29.2241252,79.4946965,ChIJX29XUs6boDkRMyw0ap-KNCo,https://www.google.com/maps/place/?q=place_id:ChIJX29XUs6boDkRMyw0ap-KNCo,part_310,2026-09-20 20:17:04,4983
Shri RN Enterprises | Cctv Shop in Haldwani,CCTV Installation and Security System,Security system supplier,Security system supplier,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 90820 91731,http://bestcctvsolutions.top/,4.8,129.0,"Shop No 2, Bhagwanpur Rd, Bhagwanpur Jaisingh, Haldwani, Bhagwanpur Talla, Uttarakhand 263139",Bhagwanpur Jaisingh,29.223861199999998,79.48076209999999,ChIJnXTfWv-boDkRYcLsEsKf5-w,https://www.google.com/maps/place/?q=place_id:ChIJnXTfWv-boDkRYcLsEsKf5-w,part_310,2026-09-20 20:17:04,4984
cctv cam (Electrical Solution),CCTV Installation and Security System,Security system installation service,Security system installation service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,0308 6169711,https://www.facebook.com/Electrical-Solution-107736917350607/,4.9,90.0,"Haji Pura Rd, Fatehgarh, Sialkot, Pakistan",Fatehgarh,32.4851692,74.5282916,ChIJU0A7ecjrHjkRQjND0Ku3sGc,https://www.google.com/maps/place/?q=place_id:ChIJU0A7ecjrHjkRQjND0Ku3sGc,part_310,2026-09-20 20:17:04,4985
"Connect & Control Systems CCTV Camera Solutions, Home, Mini Theater and Audiovisuals",CCTV Installation and Security System,Security system installation service,"Security system installation service, Security system supplier",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 90372 50250,N/A,4.4,11.0,"Tagore Rd, Trikkannapuram, aramada, Thiruvananthapuram, Keralam 695032","Trikkannapuram, aramada",8.4782877,76.99674809999999,ChIJf3WaLKy7BTsRcNYbuodrLA0,https://www.google.com/maps/place/?q=place_id:ChIJf3WaLKy7BTsRcNYbuodrLA0,part_310,2026-09-20 20:17:04,4986
Popular Services- CCTV Sales & Service Malayam,CCTV Installation and Security System,Security system installation service,Security system installation service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,https://cctvpopularservices.in/,5.0,7.0,"opp. NEO MART, UTRADAM, Malayam, Malayinkeezh, Keralam 695571",UTRADAM,8.4789817,77.018802,ChIJoT2miEqxBTsRaikILDByQqI,https://www.google.com/maps/place/?q=place_id:ChIJoT2miEqxBTsRaikILDByQqI,part_310,2026-09-20 20:17:04,4987
