business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Cearsleg Technologies Pvt Ltd,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Business management consultant, E-commerce service, Graphic designer, Marketing agency, Website designer",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 90725 72101,https://www.cearsleg.com/,4.8,102.0,"Tc 15, Parameswara Towers, 1948(3, Vazhuthacaud, Thiruvananthapuram, Keralam 695014","Bakery, Vazhuthacaud",8.5011125,76.9575017,ChIJrUZZweW7BTsRe2AQHflI418,https://www.google.com/maps/place/?q=place_id:ChIJrUZZweW7BTsRe2AQHflI418,part_310,2026-09-20 20:17:13,6019
Adridge Media,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Design agency, Marketing agency, Marketing consultant",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70127 81088,https://adridgemedia.com/,4.9,91.0,"2nd Floor, S N Plaza, W & C Hospital Rd, Thycaud, Thiruvananthapuram, Keralam 695014",Thycaud,8.488613599999999,76.9573764,ChIJyZm63ny7BTsRB7hNXTsWcQs,https://www.google.com/maps/place/?q=place_id:ChIJyZm63ny7BTsRB7hNXTsWcQs,part_310,2026-09-20 20:17:13,6020
EasyNet Digital,Digital Marketing Agencies,Internet marketing service,Internet marketing service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 86062 85454,http://easynetdigital.com/,4.9,177.0,"2nd Floor, Neelankantam, TC 9/1816 -3, Sankar Rd, opposite Indian Bank, Sasthamangalam, Thiruvananthapuram, Kerala 695010",Sasthamangalam,8.5108344,76.97108999999999,ChIJq_SZrqS7BTsRnGWAMuoJNTo,https://www.google.com/maps/place/?q=place_id:ChIJq_SZrqS7BTsRnGWAMuoJNTo,part_310,2026-09-20 20:17:13,6021
Digital Edenz,Digital Marketing Agencies,Internet marketing service,Internet marketing service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81295 79141,https://digitaledenz.com/,5.0,46.0,"6th Floor, Malankara Avenue, Lekshmi Nagar, Pattom, Thiruvananthapuram, Keralam 695004","Lekshmi Nagar, Pattom",8.5247402,76.9397848,ChIJuXDpgoW7BTsRCcKqfh2w7Uw,https://www.google.com/maps/place/?q=place_id:ChIJuXDpgoW7BTsRCcKqfh2w7Uw,part_310,2026-09-20 20:17:13,6022
Shinu Shajahan,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Direct mail advertising, Marketing consultant",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94963 65534,https://shinushajahan.com/,4.9,127.0,"P.O, Ghazal, 224/D, Ambalanagar, Kazhunadu Kallayam-Enikkara Road, Vattapara, Thiruvananthapuram, Keralam 695028",695019,8.582196,76.9520531,ChIJ3RJdNga5BTsR8M5ByeuvqGc,https://www.google.com/maps/place/?q=place_id:ChIJ3RJdNga5BTsR8M5ByeuvqGc,part_310,2026-09-20 20:17:13,6023
Freelance Website Designer Trivandrum,Digital Marketing Agencies,Marketing agency,"Marketing agency, E-commerce service, Graphic designer, Website designer, Software company, Web hosting company",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96561 80219,https://www.arunvs.in/,4.9,60.0,"Sree Devi,TC 18/1897,SRWA 14, JRA 325, Sreehills Colony, Thirumala, Thiruvananthapuram, Keralam 695006","Sreehills Colony, Thirumala",8.4989211,76.9946428,ChIJE4JVlW66BTsRXEwfcmc3LW0,https://www.google.com/maps/place/?q=place_id:ChIJE4JVlW66BTsRXEwfcmc3LW0,part_310,2026-09-20 20:17:13,6024
Sathya Narayanan,Digital Marketing Agencies,Marketing consultant,"Marketing consultant, Branding agency, Consultant, E - Commerce Agency, E-commerce service, Internet marketing service, Marketing agency, Website designer",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 73563 45934,http://sathyanarayanan.co/,5.0,20.0,"West Fort, Swathi Nagar, Pazhavangadi, Thiruvananthapuram, Keralam 695023","West Fort, Swathi Nagar, Pazhavangadi",8.4827087,76.9416195,ChIJYawx3di7BTsRJYuQvvCoR2Q,https://www.google.com/maps/place/?q=place_id:ChIJYawx3di7BTsRJYuQvvCoR2Q,part_310,2026-09-20 20:17:13,6025
The Digital Eye,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Design agency, Marketing agency, Marketing consultant",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 95676 06247,https://thedigitaleye.online/,4.9,8.0,"456(2, VBL Building, TC 49, Vellayani Jn, Nemom, Thiruvananthapuram, Keralam 695020",695019,8.4585274,76.9987014,ChIJD9r5xJu7BTsRz-6x4R6VaTc,https://www.google.com/maps/place/?q=place_id:ChIJD9r5xJu7BTsRz-6x4R6VaTc,part_310,2026-09-20 20:17:13,6026
LogicRanks,Digital Marketing Agencies,Internet marketing service,Internet marketing service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 80891 66680,https://logicranks.com/,5.0,30.0,"Door No.54/8/10, First Floor, Builtech Towers, PO, opposite Tass Restaurant, CTO Colony, Pappanamcode, Thiruvananthapuram, Keralam 695018","CTO Colony, Pappanamcode",8.4698665,76.9812257,ChIJxwWRmcy7BTsRBzETvupS7FE,https://www.google.com/maps/place/?q=place_id:ChIJxwWRmcy7BTsRBzETvupS7FE,part_310,2026-09-20 20:17:13,6027
Peakok Digital Pvt Ltd,Digital Marketing Agencies,Internet marketing service,Internet marketing service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 89402 04224,https://peakokdigital.in/,5.0,10.0,"Tc 53, SIGNATURE SQUARE, 2551(5, New, Junction, Pappanamcode, Nemom, Thiruvananthapuram, Keralam 695019","Junction, Pappanamcode",8.4654083,76.9897757,ChIJmWqb4qW7BTsRda-qadwxvMo,https://www.google.com/maps/place/?q=place_id:ChIJmWqb4qW7BTsRda-qadwxvMo,part_310,2026-09-20 20:17:13,6028
