business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr.Pradeep Kidangoor - Kidangoor Gopalakrishna Pillai Children's Medical Center,Pediatrician and Child Clinic,Pediatrician,Pediatrician,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 272 2213,https://www.bookmyopticket.com/,4.6,,"Kochar Rd, Maruthumkuzhi, Thiruvananthapuram, Keralam 695010",Maruthumkuzhi,8.5111454,76.97618039999999,ChIJ9UkXpjC6BTsRUeJqFxWJbdI,https://www.google.com/maps/place/?q=place_id:ChIJ9UkXpjC6BTsRUeJqFxWJbdI,part_310,2026-09-20 20:16:44,1893
Dr. G.R Nandakumar (Pediatrician),Pediatrician and Child Clinic,Pediatrician,Pediatrician,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 272 5845,N/A,4.8,,"Vellayambalam - Sasthamangalam Rd, opposite to Pizza Hut, Althara Nagar, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Althara Nagar, Sasthamangalam",8.5114375,76.9681073,ChIJB0AQvTO6BTsRAu55tLcNsSE,https://www.google.com/maps/place/?q=place_id:ChIJB0AQvTO6BTsRAu55tLcNsSE,part_310,2026-09-20 20:16:44,1894
Kidangoor Gopalakrishna Pillai Children's Medical Centre,Pediatrician and Child Clinic,Children's hospital,Children's hospital,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 272 2213,N/A,4.8,,"TC 16/574, Kochar Rd, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.511137999999999,76.9761274,ChIJO2BJCTq6BTsRwFTRyB4wYyU,https://www.google.com/maps/place/?q=place_id:ChIJO2BJCTq6BTsRwFTRyB4wYyU,part_310,2026-09-20 20:16:44,1895
Dr.Vidya Vimal,Pediatrician and Child Clinic,Pediatrician,Pediatrician,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,https://drvidyavimal.com/,4.9,,"DEVAM' CHAITHANYA GARDENS CGRA 131 MARAPPALAM, Pattom, Thiruvananthapuram, Keralam 695025","Lekshmi Nagar, Pattom",8.5274298,76.9468667,ChIJe5wWuLO5BTsR2zXHnSC5A0M,https://www.google.com/maps/place/?q=place_id:ChIJe5wWuLO5BTsR2zXHnSC5A0M,part_310,2026-09-20 20:16:44,1896
Ponnambalam Child Care,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Children's hospital, Doctor, Laboratory, Pain management physician, Hospital, Pharmacy",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 82818 87777,http://ponnambalamchildcare.com/,4.5,,"Poovar - Neyyatinkara Rd, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.393366,77.08919089999999,ChIJOeG5tg2vBTsRTNPa5o4lEGU,https://www.google.com/maps/place/?q=place_id:ChIJOeG5tg2vBTsRTNPa5o4lEGU,part_310,2026-09-20 20:16:44,1897
Dr.Jose Mammen Clinic,Pediatrician and Child Clinic,Medical clinic,Medical clinic,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 99466 99313,N/A,5.0,,"M.G.Road, Salem - Kochi - Kanyakumari Highway, NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","NSP Nagar, Kesavadasapuram",8.525660799999999,76.9393748,ChIJ15B_jl-5BTsRy0KCdIATIBQ,https://www.google.com/maps/place/?q=place_id:ChIJ15B_jl-5BTsRy0KCdIATIBQ,part_310,2026-09-20 20:16:44,1898
Dr. Nazeer Khan,Pediatrician and Child Clinic,Child health care center,Child health care center,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 75111 04433,N/A,4.7,,"K 29, Kochar Rd, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.5098138,76.97437529999999,ChIJDbxqrTC6BTsR6CpX2gQBY_s,https://www.google.com/maps/place/?q=place_id:ChIJDbxqrTC6BTsR6CpX2gQBY_s,part_310,2026-09-20 20:16:44,1899
Dr Prema J Kumar,Pediatrician and Child Clinic,Pediatrician,Pediatrician,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81379 35225,N/A,5.0,,"3rd Floor, SaiKrishna Building, GPO Ln, Statue, Palayam, Thiruvananthapuram, Keralam 695001","Statue, Palayam",8.4963011,76.9471712,ChIJi1pI-pG7BTsRAUyFpQkmO9Q,https://www.google.com/maps/place/?q=place_id:ChIJi1pI-pG7BTsRAUyFpQkmO9Q,part_310,2026-09-20 20:16:44,1900
Dr. Jacob Mathew,Pediatrician and Child Clinic,Pediatrician,Pediatrician,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 230 4647,N/A,4.7,,"T.C. 12/312, Plamoodu - Thekkamoodu Rd, Pushpa Nagar, Nethaji Nagar, Pattom, Thiruvananthapuram, Keralam 695004","Pushpa Nagar, Nethaji Nagar, Pattom",8.5131673,76.9452857,ChIJX-95xdy7BTsRgb13nh6j2So,https://www.google.com/maps/place/?q=place_id:ChIJX-95xdy7BTsRgb13nh6j2So,part_310,2026-09-20 20:16:44,1901
Dr Lalithakailas,Pediatrician and Child Clinic,Doctor,Doctor,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 243 2320,N/A,4.1,,"Bhadra, TC 4/1387/1, ARA 106, Ambalamukku, Thiruvananthapuram, Keralam 695003",Ambalamukku,8.531147299999999,76.9594961,ChIJk6IXs365BTsRuyzf3NzK6y8,https://www.google.com/maps/place/?q=place_id:ChIJk6IXs365BTsRuyzf3NzK6y8,part_310,2026-09-20 20:16:44,1902
