business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kaveri Store,Kirana Store,General store,General store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 70123 86884,N/A,4.6,7.0,"Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695018","Vishnu Nagar, Pappanamcode",8.4690409,76.983333,ChIJ19CSQey6BTsRztzl-3EmFYw,https://www.google.com/maps/place/?q=place_id:ChIJ19CSQey6BTsRztzl-3EmFYw,part_309,2026-09-20 20:48:54,53133
Shamy Traders,Kirana Store,Grocery store,Grocery store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 94476 56933,N/A,4.3,10.0,"FX9V+P3C, Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695019","Vishnu Nagar, Pappanamcode",8.4694963,76.9838882,ChIJrUph4uC7BTsR482dgfyK4iw,https://www.google.com/maps/place/?q=place_id:ChIJrUph4uC7BTsR482dgfyK4iw,part_309,2026-09-20 20:48:54,53134
Lekshmi Store,Kirana Store,General store,General store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 94961 55271,N/A,3.8,4.0,"FX9J+X86, CTO Colony, Pappanamcode, Thiruvananthapuram, Keralam 695018","CTO Colony, Pappanamcode",8.469918,76.980773,ChIJE-HHiO66BTsRPaczEhgqNEo,https://www.google.com/maps/place/?q=place_id:ChIJE-HHiO66BTsRPaczEhgqNEo,part_309,2026-09-20 20:48:54,53135
Somasekharan Stores,Kirana Store,Grocery store,Grocery store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 94962 60412,N/A,3.3,3.0,"FXCG+77C, Kaimanam Vivek Nagar Residential Association, Pappanamcode, Thiruvananthapuram, Keralam 695018","Kaimanam Vivek Nagar Residential Association, Pappanamcode",8.47069,76.9756366,ChIJ-1LrYuW6BTsRX-farF1Fd5o,https://www.google.com/maps/place/?q=place_id:ChIJ-1LrYuW6BTsRX-farF1Fd5o,part_309,2026-09-20 20:48:54,53136
Cute & Care,Kirana Store,General store,General store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,N/A,N/A,5.0,1.0,"FXFG+W7J, Kaimanam, Pappanamcode, Thiruvananthapuram, Keralam 695018","Kaimanam, Pappanamcode",8.4748339,76.9756517,ChIJy4yYLgC7BTsRRZD--p6GNoc,https://www.google.com/maps/place/?q=place_id:ChIJy4yYLgC7BTsRRZD--p6GNoc,part_309,2026-09-20 20:48:54,53137
KV Stores,Kirana Store,General store,General store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 94461 76686,N/A,4.5,2.0,"KV Stores, Sankalpam, High School Rd, Industrial Estate, Pappanamcode, Thiruvananthapuram, Keralam 695019","Industrial Estate, Pappanamcode",8.46719,76.98893799999999,ChIJ_z5-SC67BTsRXy8iclqRvLc,https://www.google.com/maps/place/?q=place_id:ChIJ_z5-SC67BTsRXy8iclqRvLc,part_309,2026-09-20 20:48:54,53138
A1 Store,Kirana Store,Grocery store,Grocery store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,N/A,N/A,3.5,22.0,"Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695019","Vishnu Nagar, Pappanamcode",8.4694487,76.98844849999999,ChIJw9urPpO6BTsRnkIYn7YDtjQ,https://www.google.com/maps/place/?q=place_id:ChIJw9urPpO6BTsRnkIYn7YDtjQ,part_309,2026-09-20 20:48:54,53139
Albert’s Super Market,Kirana Store,Grocery store,Grocery store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 90486 61931,N/A,4.5,6.0,"86, Maankulam Rd, Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Kerala 695018","Vishnu Nagar, Pappanamcode",8.4700508,76.98486319999999,ChIJ4elG-nG7BTsRvYLbqsQM9Zg,https://www.google.com/maps/place/?q=place_id:ChIJ4elG-nG7BTsRvYLbqsQM9Zg,part_309,2026-09-20 20:48:54,53140
Midhun Mini Mart,Kirana Store,General store,General store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,+91 99953 49871,N/A,,,"Nirsom heights, Viswambharan Road, CTO Colony, Pappanamcode, Thiruvananthapuram, Keralam 695018","CTO Colony, Pappanamcode",8.4695093,76.9806443,ChIJ-2uXNFq7BTsRi65no8fjEvY,https://www.google.com/maps/place/?q=place_id:ChIJ-2uXNFq7BTsRi65no8fjEvY,part_309,2026-09-20 20:48:54,53141
More super market pappanamcode,Kirana Store,Grocery store,Grocery store,695018,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Pappanamcode SO,N/A,N/A,,,"FX9J+VPW, Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695018","Vishnu Nagar, Pappanamcode",8.469727299999999,76.9818404,ChIJoZobMQC7BTsRggwiRzO2Llg,https://www.google.com/maps/place/?q=place_id:ChIJoZobMQC7BTsRggwiRzO2Llg,part_309,2026-09-20 20:48:54,53142
