business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cana caters n events,Caterer and Event Planner,Caterer,Caterer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 80781 70798,N/A,5.0,,"Kumbanad, Thiruvalla, Keralam 689542",689112,9.3675036,76.6438543,ChIJX0XM0Fc9BjsRQWhrakRM5Hg,https://www.google.com/maps/place/?q=place_id:ChIJX0XM0Fc9BjsRQWhrakRM5Hg,part_304,2026-09-20 20:48:55
Aranmula Caterings & Events,Caterer and Event Planner,Event management company,Event management company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98473 45669,N/A,5.0,,"Nadamanglathu house, P.O Kizhakkenada, Aranmula, Kozhencherry, Keralam 689533",P.O Kizhakkenada,9.327722399999999,76.6883757,ChIJ393m3O09BjsROlj_CIf-3rc,https://www.google.com/maps/place/?q=place_id:ChIJ393m3O09BjsROlj_CIf-3rc,part_304,2026-09-20 20:48:55
Anil Brothers Omalloor,Caterer and Event Planner,Event management company,Event management company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94472 48819,N/A,4.6,,"Anil Brothers, near Sree Rakthakanda Swamy Maya Temple Omallor, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2493655,76.7580601,ChIJd-aGZkoUBjsRWKLj6PaO89g,https://www.google.com/maps/place/?q=place_id:ChIJd-aGZkoUBjsRWKLj6PaO89g,part_304,2026-09-20 20:48:55
Sunnys caterers and events,Caterer and Event Planner,Caterer,Caterer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 85479 20037,N/A,5.0,,"near Bright industry, Chalachira, Changanassery, Ithithanam, Keralam 686535",Chalachira,9.4848173,76.5470593,ChIJAdnP3SQpBjsRrKV2lnxLh84,https://www.google.com/maps/place/?q=place_id:ChIJAdnP3SQpBjsRrKV2lnxLh84,part_304,2026-09-20 20:48:55
MotherS Catering &Events,Caterer and Event Planner,Event management company,Event management company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 90371 58177,N/A,4.2,,"Mangattu Thundil- Kanave, TB Junction, Parakode, Adoor, Kerala 691554",689112,9.1544436,76.7552109,ChIJ5____0sSBjsRsJfWNpCvHV4,https://www.google.com/maps/place/?q=place_id:ChIJ5____0sSBjsRsJfWNpCvHV4,part_304,2026-09-20 20:48:55
Solomons Catering Service And Events,Caterer and Event Planner,Event management company,Event management company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94477 80879,N/A,4.3,,"Sooranad North, Sooranad, Keralam 690561",Sooranad North,9.0930628,76.6023297,ChIJu4xY3RgFBjsRirQLgPEL85E,https://www.google.com/maps/place/?q=place_id:ChIJu4xY3RgFBjsRirQLgPEL85E,part_304,2026-09-20 20:48:55
Granary Caterers & Events,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event planner",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 81579 59297,https://granarycaterers.com/,4.4,,"po, Madappally, Changanassery, Keralam 686546",689112,9.4606218,76.6053888,ChIJPxnfl00vBjsR4mdy6c3mC3o,https://www.google.com/maps/place/?q=place_id:ChIJPxnfl00vBjsR4mdy6c3mC3o,part_304,2026-09-20 20:48:55
Sreebhadra caterings and event management nallor malayalapuzha,Caterer and Event Planner,Catering food and drink supplier,Catering food and drink supplier,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98476 51739,N/A,4.5,,"Malayalapuzha nallor, near, Karinkuttickal - Thompilkottaram Rd, Malayalapuzha, Keralam 689666",689112,9.2791405,76.8246715,ChIJ3W_sCsoVBjsRV-mgJ7_9M0c,https://www.google.com/maps/place/?q=place_id:ChIJ3W_sCsoVBjsRV-mgJ7_9M0c,part_304,2026-09-20 20:48:55
Eden Caters,Caterer and Event Planner,Caterer,Caterer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 96564 93963,N/A,4.2,,"8J4P+8FC, Chengannur, Mulakuzha, Keralam 689505",689112,9.3058125,76.636127,ChIJFYqAE6wiBjsR2kjUZsoxDsM,https://www.google.com/maps/place/?q=place_id:ChIJFYqAE6wiBjsR2kjUZsoxDsM,part_304,2026-09-20 20:48:55
Harvest Caterers,Caterer and Event Planner,Caterer,Caterer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 93871 77774,https://harvestcaterers.in/,4.7,,"Ezhinjillam, Chathankary - Kavumbhagom Road, P.O, Perumthuruthy, Thiruvalla, Keralam 689107",P.O,9.4159375,76.5494375,ChIJjcA2hSokBjsRiQSGRWpRT4o,https://www.google.com/maps/place/?q=place_id:ChIJjcA2hSokBjsRiQSGRWpRT4o,part_304,2026-09-20 20:48:55
Garnish Caterers Pvt Ltd,Caterer and Event Planner,Caterer,Caterer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 93876 37522,https://garnishcaters.com/,4.4,,"Thirumoolapuram - Kattode Rd, Manjadi, Thiruvalla, Keralam 689105",689112,9.3742668,76.5975854,ChIJH1JbDX8jBjsRcwqsDa2sj34,https://www.google.com/maps/place/?q=place_id:ChIJH1JbDX8jBjsRcwqsDa2sj34,part_304,2026-09-20 20:48:55
A.P. Caterers & Decorators,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Wedding planner",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97180 56103,N/A,4.9,,"A.P. Caterers & Decorators, 689112, India",689112,21.0680074,82.7525294,ChIJ26AIXl3vDDkR0haaqEnhvwY,https://www.google.com/maps/place/?q=place_id:ChIJ26AIXl3vDDkR0haaqEnhvwY,part_304,2026-09-20 20:48:55
