business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VLS medical centre,Clinics,Medical Center,Medical Center,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 70120 14801,N/A,5.0,,"Junction, Peringara, Thiruvalla, Keralam 689108",689112,9.379928399999999,76.5436971,ChIJ1xKam40nBjsRUDk-C_89N4I,https://www.google.com/maps/place/?q=place_id:ChIJ1xKam40nBjsRUDk-C_89N4I,part_304,2026-09-20 20:48:43
"People's Clinic & Hospital, Pathanamthitta",Clinics,Hospital,Hospital,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 468 222 2528,N/A,3.3,,"7Q8M+8H2, Near Alukas Jewellery, Kerala 689645",689112,9.2657732,76.78389349999999,ChIJ30kAwAgVBjsR2CgpQPyqP0I,https://www.google.com/maps/place/?q=place_id:ChIJ30kAwAgVBjsR2CgpQPyqP0I,part_304,2026-09-20 20:48:43
S R Trustcare Medical Centre,Clinics,Medical Center,Medical Center,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97472 32823,N/A,4.9,,"Palliparampil building, kodalimukku, Chittar, Keralam 689663",kodalimukku,9.3332107,76.9276587,ChIJNz2gVJpDBjsRJjNOSXjs40g,https://www.google.com/maps/place/?q=place_id:ChIJNz2gVJpDBjsRJjNOSXjs40g,part_304,2026-09-20 20:48:43
Vettathu Dr. Susykochamma Memorial Homoeo Clinic,Clinics,Medical Center,Medical Center,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 90370 74522,https://vettathuhomoeoclinic.com/,4.9,,"Chalayikkara Housing Association, TK Rd, near AMM Hospital, P O, Maramon, Kozhencherry, Keralam 689549",P O,9.3486845,76.6845127,ChIJNdWJ4ds9BjsRrKvAfhDx32Q,https://www.google.com/maps/place/?q=place_id:ChIJNdWJ4ds9BjsRrKvAfhDx32Q,part_304,2026-09-20 20:48:43
Grace Medical Centre,Clinics,Medical clinic,"Medical clinic, Pharmacy",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 70346 33535,N/A,3.7,,"6RHX+766, Kaipattoor - Konni Rd, Konni, Keralam 689691",689112,9.2281518,76.8480305,ChIJ_-dWeiJrBjsRoaZKZGfCMnk,https://www.google.com/maps/place/?q=place_id:ChIJ_-dWeiJrBjsRoaZKZGfCMnk,part_304,2026-09-20 20:48:43
CHC pandanad (Community Health Center),Clinics,Community health center,Community health center,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,3.8,,"8HFG+HJ7, Keezhuvanmazhy, Pandanad, Keralam 689506",Keezhuvanmazhy,9.3239047,76.5765413,ChIJC6h280kiBjsRH5H7uFDQn8U,https://www.google.com/maps/place/?q=place_id:ChIJC6h280kiBjsRH5H7uFDQn8U,part_304,2026-09-20 20:48:43
"Dr Christy Abraham, Psychiatrist",Clinics,Psychiatrist,"Psychiatrist, Addiction treatment center, Child psychiatrist, Mental health service, Psychiatric hospital, Psychotherapist, Sexologist",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94476 51245,https://drchristyabraham.com/,4.9,995.0,"Podiyadi, Thiruvalla, Keralam 689110",Podiyadi,9.3648249,76.54454009999999,ChIJqSKBedAhBjsRNyRCvbPZZsg,https://www.google.com/maps/place/?q=place_id:ChIJqSKBedAhBjsRNyRCvbPZZsg,part_304,2026-09-20 20:48:43
Kanjeettukara Primary Health Center,Clinics,Hospital,Hospital,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.6,,"9P6F+4XQ, Kumbanadu - Cherukolpuzha Rd, Ayroor, Keralam 689611",689112,9.3636122,76.72524609999999,ChIJqSA2Cxk8BjsRs5W2NClDYiY,https://www.google.com/maps/place/?q=place_id:ChIJqSA2Cxk8BjsRs5W2NClDYiY,part_304,2026-09-20 20:48:43
Community Health Centre Chathenkary,Clinics,Medical Center,Medical Center,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 469 273 2655,N/A,3.5,,"9GHG+M3W, Chathankary Rd, Chathenkary, Keralam 689112",689112,9.3792445,76.52521159999999,ChIJw8ri-MkmBjsRu8eun_htxXE,https://www.google.com/maps/place/?q=place_id:ChIJw8ri-MkmBjsRu8eun_htxXE,part_304,2026-09-20 20:48:43
SAISHMA'S MIND WELLNESS,Clinics,Medical clinic,Medical clinic,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,http://www.saishmasmindwellness.in/,5.0,,"SAISHMAS MIND WELLNESS, Thayyil Complex, near RS Architecture, Peringara, Thiruvalla, Keralam 689108",689112,9.3783706,76.5358399,ChIJFcTVs1sjBjsRogfBlvF0E5o,https://www.google.com/maps/place/?q=place_id:ChIJFcTVs1sjBjsRogfBlvF0E5o,part_304,2026-09-20 20:48:43
