business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EasysalePOS.com,POS and Billing Software Vendor,Software company,Software company,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 90370 12303,https://www.easysalepos.com/,4.8,81.0,"11th floor, CLIDOT PVT LTD, Heavenly Plaza, 368, GS II, Padamughal, Vazhakkala, Kakkanad, Kochi, Keralam 682021","Padamughal, Vazhakkala",10.013794299999999,76.3306011,ChIJAxTJ1JYNCDsRfwK08lMVopY,https://www.google.com/maps/place/?q=place_id:ChIJAxTJ1JYNCDsRfwK08lMVopY,part_301,2026-09-20 20:17:08
GravityINC,POS and Billing Software Vendor,Software company,"Software company, Business to business service, Computer software store, Electric vehicle charging station contractor, Printing equipment supplier",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 85929 79040,https://gravityinc.in/,4.8,57.0,"Ground floor, Thekkanath Building, S Railway Overbridge, Near South Over Bridge, Panampilly Nagar, Kochi, Ernakulam, Keralam 682036","Near South Over Bridge, Panampilly Nagar",9.9649884,76.29268309999999,ChIJT88xUrhyCDsR15h9GrIAbCk,https://www.google.com/maps/place/?q=place_id:ChIJT88xUrhyCDsR15h9GrIAbCk,part_301,2026-09-20 20:17:08
Billing Software,POS and Billing Software Vendor,Software company,Software company,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,,,"Varangode, Down Hill, Malappuram, Kerala 676519","Varangode, Down Hill",11.0546255,76.0809087,ChIJizHmPI5LpjsRmxYTKsSOimE,https://www.google.com/maps/place/?q=place_id:ChIJizHmPI5LpjsRmxYTKsSOimE,part_301,2026-09-20 20:17:08
Postech Solution,POS and Billing Software Vendor,Software company,Software company,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98046 74036,http://www.postechsolution.in/,5.0,88.0,"42, Metcalfe St, Mission Row Extension, Bow Barracks, Kolkata, West Bengal 700012","Mission Row Extension, Bow Barracks",22.5699957,88.3548481,ChIJjTr8zqh3AjoRN3mGI3OzLPk,https://www.google.com/maps/place/?q=place_id:ChIJjTr8zqh3AjoRN3mGI3OzLPk,part_301,2026-09-20 20:17:08
App Integrity Private Limited,POS and Billing Software Vendor,Software company,Software company,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99951 53834,https://appintegrity.io/,,,"P O, MRA-A76, Mannarakonam - Thoppumukku Rd, Kallumala, Thiruvananthapuram, Keralam 695013",Kallumala,8.5287472,76.9932859,ChIJPUtVEYyFUScRQRTnGMEzsuw,https://www.google.com/maps/place/?q=place_id:ChIJPUtVEYyFUScRQRTnGMEzsuw,part_301,2026-09-20 20:17:08
DELL Computer Store - TechSure IT Solutions,POS and Billing Software Vendor,Computer service,"Computer service, Computer accessories store, Computer consultant, Computer repair service, Computer Wholesaler, Computer store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97800 11582,N/A,5.0,11.0,"1st Floor, SCO 86, Sector 47 D, Sector 47, Chandigarh, 160047","Sector 47 D, Sector 47",30.6959925,76.7686274,ChIJAT3pa3L-fAIRWPVkA_yZDgU,https://www.google.com/maps/place/?q=place_id:ChIJAT3pa3L-fAIRWPVkA_yZDgU,part_301,2026-09-20 20:17:08
IT's Solution,POS and Billing Software Vendor,Website designer,Website designer,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94336 39539,https://itssolution.in/,5.0,12.0,"Burasanti, Nabapally, Singur, West Bengal 712409","Burasanti, Nabapally, Singur",22.817720599999998,88.22804169999999,ChIJKwOlaVKaGKQRRiJw5iyiTpM,https://www.google.com/maps/place/?q=place_id:ChIJKwOlaVKaGKQRRiJw5iyiTpM,part_301,2026-09-20 20:17:08
STREAMS SOLUTIONS,POS and Billing Software Vendor,Software company,"Software company, Service establishment",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.streamssolutions.com/?utm_source=org_search&utm_medium=gmb&utm_campaign=website_btn_clk&utm_id=gmbvirg&utm_content=google_page_view,5.0,1.0,"STREAMS SOLUTIONS, 686518, India",686518,46.423669,-129.9427086,ChIJVVVVVdwYDTkRzqFFBPBjbno,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVdwYDTkRzqFFBPBjbno,part_301,2026-09-20 20:17:08
Code263 Systems Pvt ltd,POS and Billing Software Vendor,Software company,"Software company, Service establishment",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.linkedin.com/company/code263-systems-pvt-ltd,,,"Code263 Systems Pvt ltd, 686518, India",686518,-19.0156588,29.152801999999998,ChIJhxIJRNalMRkRpIKsxRZbn90,https://www.google.com/maps/place/?q=place_id:ChIJhxIJRNalMRkRpIKsxRZbn90,part_301,2026-09-20 20:17:08
Code Desk,POS and Billing Software Vendor,Software company,"Software company, Service establishment",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",0321 6076465,N/A,4.6,13.0,"Code Desk, 686518, India",686518,30.3629572,68.9966984,ChIJ40hgwMkDGTkR7ktCEIarzDc,https://www.google.com/maps/place/?q=place_id:ChIJ40hgwMkDGTkR7ktCEIarzDc,part_301,2026-09-20 20:17:08
