business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fotoloom Gifts,Gifting,Gift shop,"Gift shop, Corporate gift supplier, Laser Cutting Service Provider",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 89216 99508,https://www.fotoloom.com/,5.0,28.0,"Startups Valley TBI Amal Jyothi College of Engineering, Koovappally P O, Kottayam, Keralam 686518",686518,9.5277652,76.8227422,ChIJt9bcu9o3BjsRXyMix4YyZ_s,https://www.google.com/maps/place/?q=place_id:ChIJt9bcu9o3BjsRXyMix4YyZ_s,part_301,2026-09-20 20:17:03
Edu hub,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98479 52849,N/A,4.6,8.0,"38/2, near St. DOminic's College, Kanjirappally, Podimattom, Keralam 686512",686518,9.5699867,76.8169578,ChIJo4JTOQA1BjsRKErYG05oEdM,https://www.google.com/maps/place/?q=place_id:ChIJo4JTOQA1BjsRKErYG05oEdM,part_301,2026-09-20 20:17:03
Laamicz,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97465 99224,N/A,4.8,11.0,"Kottayam, Keralam 686005",686518,9.5813125,76.7838125,ChIJsY4pkPc1BjsRsuDsJmXeFPU,https://www.google.com/maps/place/?q=place_id:ChIJsY4pkPc1BjsRsuDsJmXeFPU,part_301,2026-09-20 20:17:03
LET'S ENJOY GIFT,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99958 56391,https://letsenjoygift.com/,4.7,84.0,"Let's Enjoy Gifts.com Karoda Buildings Muttichira, Kottayam, Keralam 686613",686518,9.755440499999999,76.5059382,ChIJQfTxIw3XBzsRPDE1x8RW3wQ,https://www.google.com/maps/place/?q=place_id:ChIJQfTxIw3XBzsRPDE1x8RW3wQ,part_301,2026-09-20 20:17:03
Hewdes,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62351 37969,https://instagram.com/hewdesgifts?igshid=MzNlNGNkZWQ4Mg==,4.9,7.0,"382/20, Panachepally - Pattimattom Rd, P O, Koovappally, Erumeli North, Keralam 686518",P O,9.5306178,76.810614,ChIJH9FBPQ83BjsR0QT-flGwmak,https://www.google.com/maps/place/?q=place_id:ChIJH9FBPQ83BjsR0QT-flGwmak,part_301,2026-09-20 20:17:03
Rose Ladies Collections & Gifts,Gifting,Gift shop,"Gift shop, Costume store, Jewelry store, Toy store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99470 77969,N/A,4.5,4.0,"Petta, Junction, Kanjirappally, Kottayam, Keralam 686507",686518,9.5599875,76.7934295,ChIJw564T9g1BjsRjbEEp9pRVpE,https://www.google.com/maps/place/?q=place_id:ChIJw564T9g1BjsRjbEEp9pRVpE,part_301,2026-09-20 20:17:03
The Present Tense,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,,,"PUTHIYAPARAMBIL, Kanjirappally, Keralam 686507",PUTHIYAPARAMBIL,9.5659867,76.7942376,ChIJy02GtMs1BjsRHbjEvwaQ7mQ,https://www.google.com/maps/place/?q=place_id:ChIJy02GtMs1BjsRHbjEvwaQ7mQ,part_301,2026-09-20 20:17:03
Lichee Fancy,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,2.0,"HQ5R+285, Puthanangady Rd, Kokkappally, Kanjirappally, Keralam 686507",Kokkappally,9.557513,76.79085309999999,ChIJ5eYi7vM3BjsR8Ndnt4vbtEM,https://www.google.com/maps/place/?q=place_id:ChIJ5eYi7vM3BjsR8Ndnt4vbtEM,part_301,2026-09-20 20:17:03
"Nandanam gift , fancy and cosemetic shop",Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 73066 05831,N/A,4.3,21.0,"Ettumanoor, Keralam 686631",686518,9.6713674,76.5627665,ChIJr9kKixvTBzsRki6f3chszFY,https://www.google.com/maps/place/?q=place_id:ChIJr9kKixvTBzsRki6f3chszFY,part_301,2026-09-20 20:17:03
MATHA GIFT CENTER,Gifting,Gift shop,Gift shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 90744 73953,N/A,,,"Matha Building, MATHA GIFT Center, No12, Edakkunnam - Pallipady Rd, near by Church Parathodu, Parathodu, Keralam 686512",Parathodu,9.5715813,76.82949239999999,ChIJ1TO_mG9LBjsRx9CV5JzJyqE,https://www.google.com/maps/place/?q=place_id:ChIJ1TO_mG9LBjsRx9CV5JzJyqE,part_301,2026-09-20 20:17:03
