business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S N Rice And Provision Store,Rice and Grain Merchant,Grocery store,Grocery store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94462 85099,N/A,4.3,,"Kattaikonam, Thiruvananthapuram, Kerala 695584",Kattaikonam,8.601282099999999,76.89842519999999,ChIJ7dAX_Fy_BTsRb74Td5Fc74g,https://www.google.com/maps/place/?q=place_id:ChIJ7dAX_Fy_BTsRb74Td5Fc74g,part_310,2026-09-20 20:16:32
Bharath Rice Market,Rice and Grain Merchant,Grocery store,"Grocery store, Market, Rice shop, Wholesale grocer",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94959 09090,N/A,4.1,,"FXH9+J3J, Sivan Kovil Rd, Karamana, Thiruvananthapuram, Keralam 695002",Karamana,8.4790776,76.9676363,ChIJ3xRb9_66BTsRjXv6id4fWNI,https://www.google.com/maps/place/?q=place_id:ChIJ3xRb9_66BTsRjXv6id4fWNI,part_310,2026-09-20 20:16:32
Hafsar Trading Company,Rice and Grain Merchant,Rice wholesaler,"Rice wholesaler, General store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,4.1,,"9XRQ+798, Kovalam, Venganoor, Kovalam, Kerala 695521",Kovalam,8.3906525,76.9884539,ChIJWUT5jZilBTsR4Jvl1xR5hbE,https://www.google.com/maps/place/?q=place_id:ChIJWUT5jZilBTsR4Jvl1xR5hbE,part_310,2026-09-20 20:16:32
Keerthi Flour mill & Spice store,Rice and Grain Merchant,Flour mill,"Flour mill, Spice store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94471 41800,https://www.facebook.com/share/hztAtMeYLbhwWcWk/?mibextid=qi2Omg,4.9,,"Melarannoor Road, near rajeev gandhi, centre, Thiruvananthapuram, Keralam 695014",centre,8.4928376,76.967541,ChIJxcmyZlK6BTsRQ49JEWySlfc,https://www.google.com/maps/place/?q=place_id:ChIJxcmyZlK6BTsRQ49JEWySlfc,part_310,2026-09-20 20:16:32
Kripa Traders,Rice and Grain Merchant,Rice shop,Rice shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 221 5436,N/A,4.3,,"8466+33C, Parassala - Kollemcode - Poovar - Kovalam Rd, Karode, Keralam 695506",695019,8.310193,77.1101382,ChIJ_cuVji6qBTsRDb8lkBjYDz4,https://www.google.com/maps/place/?q=place_id:ChIJ_cuVji6qBTsRDb8lkBjYDz4,part_310,2026-09-20 20:16:32
Saradha Rice Stores,Rice and Grain Merchant,General store,"General store, Wholesale grocer",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 93497 72466,N/A,5.0,,"Aryasala, Chalai, Thiruvananthapuram, Keralam 695036","Aryasala, Chalai",8.481142,76.953999,ChIJDyoYwQe7BTsRz_2DnfYx-_0,https://www.google.com/maps/place/?q=place_id:ChIJDyoYwQe7BTsRz_2DnfYx-_0,part_310,2026-09-20 20:16:32
GENERAL TRADERS,Rice and Grain Merchant,Wholesaler,"Wholesaler, Store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 77362 73767,N/A,4.4,,"INDHIRAJI COMPLEX, 39/416, Kothuval St, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","Chalai Bazaar, Chalai",8.4817349,76.9508596,ChIJRaHxOgi7BTsRKUWss2PBmHc,https://www.google.com/maps/place/?q=place_id:ChIJRaHxOgi7BTsRKUWss2PBmHc,part_310,2026-09-20 20:16:32
Saj Engineering Works & Saj Rice & Flour Mill,Rice and Grain Merchant,Rice mill,Rice mill,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 74036 67220,N/A,5.0,,"Avanavanchery, Keralam 695103",695019,8.691227999999999,76.8466643,ChIJlTue-_TBBTsRXurcIYuYPTw,https://www.google.com/maps/place/?q=place_id:ChIJlTue-_TBBTsRXurcIYuYPTw,part_310,2026-09-20 20:16:32
Aradhana Flour Mill,Rice and Grain Merchant,Flour mill,Flour mill,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 93884 13099,N/A,4.0,,"60B, E Cliff Ln, Devaswom Board Junction, Kanaka Nagar, Nanthancodu, Thiruvananthapuram, Keralam 695003","Devaswom Board Junction, Kanaka Nagar, Nanthancodu",8.5174197,76.9573595,ChIJWaeVm9G7BTsRQx_Vef3vW6M,https://www.google.com/maps/place/?q=place_id:ChIJWaeVm9G7BTsRQx_Vef3vW6M,part_310,2026-09-20 20:16:32
Indian Traders,Rice and Grain Merchant,Wholesale grocer,"Wholesale grocer, Spices Wholesaler",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94461 27535,N/A,4.6,,"A.R.S Building By Pass FWHX+QR3 Nalumukku-Kaithamukku, Road, Attakulangara, Thiruvananthapuram, Keralam 695036",Attakulangara,8.479436999999999,76.9495239,ChIJH6JjBAm7BTsR5Uk2WDgi-0Q,https://www.google.com/maps/place/?q=place_id:ChIJH6JjBAm7BTsR5Uk2WDgi-0Q,part_310,2026-09-20 20:16:32
