business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Health Centre,Healthcare Clinic Chains,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.0,,"JGCG+5VP, Kumaranalloor, Kottayam, Kerala 686016",Kumaranalloor,9.6204589,76.5272031,ChIJHfXGDEcrBjsRiwhSIpK4CnE,https://www.google.com/maps/place/?q=place_id:ChIJHfXGDEcrBjsRiwhSIpK4CnE,part_302,2026-09-20 20:16:50
"Primary Health Centre, Athirampuzha",Healthcare Clinic Chains,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,3.8,,"near government hospital, near Athirampuzha, Athirampuzha, Kerala 686562",686603,9.6659533,76.5403589,ChIJPaKGHpvUBzsR7kgKw8jqI34,https://www.google.com/maps/place/?q=place_id:ChIJPaKGHpvUBzsR7kgKw8jqI34,part_302,2026-09-20 20:16:50
Public Health Centre. പബ്ലിക്‌ ഹെൽത്ത് സെന്റർ,Healthcare Clinic Chains,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 253 5573,N/A,3.5,,"MHC4+879, Police Station Rd, Ettumanoor, Keralam 686631",686603,9.670791699999999,76.5557317,ChIJPQcmdHvTBzsRxBzd3fZxBmo,https://www.google.com/maps/place/?q=place_id:ChIJPQcmdHvTBzsRxBzd3fZxBmo,part_302,2026-09-20 20:16:50
Caritas Ayurveda Hospital,Healthcare Clinic Chains,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94977 79460,http://www.caritasayurveda.com/,4.0,,"JHW3+982, Thellakom, Kottayam, Keralam 686630",Thellakom,9.6458791,76.5532621,ChIJg45mJFfTBzsRsmwK2opUMXo,https://www.google.com/maps/place/?q=place_id:ChIJg45mJFfTBzsRsmwK2opUMXo,part_302,2026-09-20 20:16:50
Thengana Medical Mission Hospital & Research Centre,Healthcare Clinic Chains,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 247 3237,http://www.tmmhrc.in/,4.1,21.0,"Changanassery - Vazhoor Rd, Perumpanachy, Keralam 686536",686603,9.476488,76.57992999999999,ChIJN3tm_G4vBjsRgwAQSKdkZqU,https://www.google.com/maps/place/?q=place_id:ChIJN3tm_G4vBjsRgwAQSKdkZqU,part_302,2026-09-20 20:16:51
A One Health care,Healthcare Clinic Chains,Hospital department,Hospital department,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,2.5,,"RFFR+RGH, Moorkattilpady, Kerala 686610",686603,9.8244989,76.4913035,ChIJ3QJk8XPZBzsRqc_Uma0Waew,https://www.google.com/maps/place/?q=place_id:ChIJ3QJk8XPZBzsRqc_Uma0Waew,part_302,2026-09-20 20:16:51
Wellness Point,Healthcare Clinic Chains,Doctor,"Doctor, Hospital",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 96569 87335,https://wellnesspointhospital.vercel.app/,3.8,,"Wellness Point, Peruva, Moorkattilpady, Keralam 686610",686603,9.824362299999999,76.4915314,ChIJa5WqJ6HZBzsRwJ8Thgvsk7A,https://www.google.com/maps/place/?q=place_id:ChIJa5WqJ6HZBzsRwJ8Thgvsk7A,part_302,2026-09-20 20:16:51
Karukachal Community Health Centre,Healthcare Clinic Chains,Government hospital,Government hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 248 5241,http://www.dhs.kerala.gov.in/,3.6,,"GJ2Q+X9X, Karukachal - Changanacherry Rd, Karukachal, Keralam 686540",686603,9.502481699999999,76.63847659999999,ChIJm6BK89YvBjsRsooeVLj4TRY,https://www.google.com/maps/place/?q=place_id:ChIJm6BK89YvBjsRsooeVLj4TRY,part_302,2026-09-20 20:16:51
Primary Health Centre Kaduthuruthy,Healthcare Clinic Chains,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.2,,"PFVJ+Q39, Mathuravely, Kaduthuruthy, Keralam 686613",Mathuravely,9.7444125,76.4802344,ChIJkfn0iEDWBzsRz1hQaW5_e5w,https://www.google.com/maps/place/?q=place_id:ChIJkfn0iEDWBzsRz1hQaW5_e5w,part_302,2026-09-20 20:16:51
MGM Medicals,Healthcare Clinic Chains,Pharmacy,"Pharmacy, Drug store, Medical supply store",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 256 2623,N/A,3.2,,"MGM Building, Kottayam - Kumily Rd, opposite to Kottayam General Hospital, Kottayam, Keralam 686001",Eerayil Kadavu,9.5894725,76.5267009,ChIJ8dESk58rBjsR3aqD6mrBC-Y,https://www.google.com/maps/place/?q=place_id:ChIJ8dESk58rBjsR3aqD6mrBC-Y,part_302,2026-09-20 20:16:52
