business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Caritas Hospital - Multispeciality Hospital, Kottayam",Multispeciality Hospital,Hospital,"Hospital, Emergency care service",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 279 0025,http://www.caritashospital.org/,4.7,,"Caritas Hospital, Thellakom, Keralam 686630",Thellakom,9.6464699,76.5498764,ChIJrWFd41fTBzsRA4_XstmAdgI,https://www.google.com/maps/place/?q=place_id:ChIJrWFd41fTBzsRA4_XstmAdgI,part_302,2026-09-20 20:16:47
Holy Ghost Mission Hospital,Multispeciality Hospital,General hospital,"General hospital, Doctor",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 4829 216 600,http://www.hgmhospital.org/,3.6,,"QF4X+VVQ, Muttuchira, Kottayam, Keralam 686613",686603,9.7572188,76.49972819999999,ChIJGT3dYVbWBzsRrZDX8Sv8AN4,https://www.google.com/maps/place/?q=place_id:ChIJGT3dYVbWBzsRrZDX8Sv8AN4,part_302,2026-09-20 20:16:47
Caritas Matha Hospital,Multispeciality Hospital,General hospital,General hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 279 2500,https://caritasmathahospital.com/,4.6,,"02, SH 1, Thellakom, Keralam 686630",Thellakom,9.6484632,76.5496302,ChIJ_f__xljTBzsRIt0Iq2iuvCg,https://www.google.com/maps/place/?q=place_id:ChIJ_f__xljTBzsRIt0Iq2iuvCg,part_302,2026-09-20 20:16:47
KIMSHEALTH Kottayam,Multispeciality Hospital,Hospital,"Hospital, General hospital",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 294 1000,https://www.kimshealth.org/kottayam/,4.2,,"Thoothutty Junction, Kudamaloor, Kottayam, Keralam 686017",Kudamaloor,9.6236714,76.5179421,ChIJo-vTmzArBjsRvrnJKF15ZiU,https://www.google.com/maps/place/?q=place_id:ChIJo-vTmzArBjsRvrnJKF15ZiU,part_302,2026-09-20 20:16:47
LLM Hospital Kidangoor,Multispeciality Hospital,Private hospital,"Private hospital, Hospital",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 4822 254 156,https://llmhospital.com/,4.5,,"Highway Junction, Kidangoor - Manarcadu Rd, Kidangoor, Keralam 686572",686603,9.683455499999999,76.6119901,ChIJC1QhxVjSBzsROXpPzmAPoTU,https://www.google.com/maps/place/?q=place_id:ChIJC1QhxVjSBzsROXpPzmAPoTU,part_302,2026-09-20 20:16:47
"Mar Sleeva Medicity Palai - Multispeciality Hospital, Kottayam",Multispeciality Hospital,Private hospital,Private hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 4822 359 900,http://marsleevamedicity.com/,4.7,,"P.O, Kezhuvamkulam, Cherpunkal, Keralam 686584",P.O,9.6796642,76.64393539999999,ChIJj2T35QXNBzsResEJ5_GeMY4,https://www.google.com/maps/place/?q=place_id:ChIJj2T35QXNBzsResEJ5_GeMY4,part_302,2026-09-20 20:16:47
Bharath Hospital,Multispeciality Hospital,General hospital,"General hospital, Heart hospital, Hospital",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 258 2947,https://www.bharathhospital.co.in/,4.6,,"Azad Ln, Puthenangady, Kottayam, Keralam 686001",Puthenangady,9.5895411,76.5195303,ChIJSTDZN6crBjsRzXNVj6UqLhk,https://www.google.com/maps/place/?q=place_id:ChIJSTDZN6crBjsRzXNVj6UqLhk,part_302,2026-09-20 20:16:47
S H Medical Centre,Multispeciality Hospital,General hospital,General hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 256 2240,https://shmedicalcentrektm.com/,4.5,,"Nagampadam, Kottayam, Keralam 686001",Nagampadam,9.594316599999999,76.52960639999999,ChIJS9zeSHQrBjsR4PGhSDNMu_8,https://www.google.com/maps/place/?q=place_id:ChIJS9zeSHQrBjsR4PGhSDNMu_8,part_302,2026-09-20 20:16:47
Mitera Hospital,Multispeciality Hospital,Hospital,"Hospital, Fertility clinic, Obstetrician-gynecologist, Neonatal physician, Women's health clinic, ENT Specialist, Pediatric dentist, Pediatrician, Plastic surgery clinic, Psychologist",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 279 2999,http://www.mitera.in/,4.3,,"JGXX+57P State Highway 1, Mitera Hospital, Thellakom, Kottayam, Keralam 686630",Thellakom,9.6478066,76.5472563,ChIJnfB-vKfUBzsRsjZUrI9wD54,https://www.google.com/maps/place/?q=place_id:ChIJnfB-vKfUBzsRsjZUrI9wD54,part_302,2026-09-20 20:16:47
"Caritas Family Hospital, Kalathipady",Multispeciality Hospital,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 87146 41714,https://www.caritasfamilyhospital.com/,4.7,,"HHQ3+G46, Karipal Building, Vadavathoor, PO, Kalathipady, Kottayam, Keralam 686010",Kalathipady,9.5888125,76.5528125,ChIJdRCqC6wtBjsRDFhN9NXTcYM,https://www.google.com/maps/place/?q=place_id:ChIJdRCqC6wtBjsRDFhN9NXTcYM,part_302,2026-09-20 20:16:47
CMC Hospital,Multispeciality Hospital,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 95260 84111,N/A,4.2,,"SH 1, Sankranthi, Gandhi Nagar, Kottayam, Perumbaikad, Keralam 686016","Sankranthi, Gandhi Nagar",9.6270195,76.54013499999999,ChIJpf1PqlErBjsRrIOuG5X68xg,https://www.google.com/maps/place/?q=place_id:ChIJpf1PqlErBjsRrIOuG5X68xg,part_302,2026-09-20 20:16:47
CARITAS HOSPITAL & INSTITUTE OF HEALTH SCIENCES,Multispeciality Hospital,Multispeciality Hospital,Multispeciality Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 279 0025,N/A,4.8,,"Thellakom, Keralam 686630",Thellakom,9.6478038,76.5485688,ChIJGcC8i6fUBzsRTtmJCKYWn_E,https://www.google.com/maps/place/?q=place_id:ChIJGcC8i6fUBzsRTtmJCKYWn_E,part_302,2026-09-20 20:16:47
"M.U.M Hospital,Monippally P O, Kottayam",Multispeciality Hospital,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,https://www.mumhospitalmonippally.com/,4.5,,"P.O, Monippally, Keralam 686636",P.O,9.8104195,76.5768389,ChIJ4Qsqyu_RBzsRBH8QqjIstXs,https://www.google.com/maps/place/?q=place_id:ChIJ4Qsqyu_RBzsRBH8QqjIstXs,part_302,2026-09-20 20:16:47
K. R. Narayanan Memorial Speciality Hospital,Multispeciality Hospital,Hospital,Hospital,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 4822 241 045,N/A,4.2,,"QJM6+VH5, Uzhavoor, Keralam 686634",686603,9.7848886,76.61177889999999,ChIJofVxCETQBzsR8uZmyLxeOXQ,https://www.google.com/maps/place/?q=place_id:ChIJofVxCETQBzsR8uZmyLxeOXQ,part_302,2026-09-20 20:16:47
