business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Chalappally, Keralam 689586",Paan and FMCG Stall,Postal code,Postal code,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,,,"Chalappally, Keralam",689586,9.4185683,76.7047904,ChIJibw_mrM7BjsRhC9GUYD4GkI,https://www.google.com/maps/place/?q=place_id:ChIJibw_mrM7BjsRhC9GUYD4GkI,part_305,2026-09-20 20:16:34
Feast N'Harvest (the complete homemade products,Paan and FMCG Stall,Food producer,Food producer,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 95444 18926,https://feastnharvest.in/,4.9,,"Puthuparambil Building 82/287, Chettimukku, Maramon, Thiruvalla, Keralam 689549",689586,9.3405015,76.69326699999999,ChIJOVY2JHM9BjsRWQ3llKIGcjM,https://www.google.com/maps/place/?q=place_id:ChIJOVY2JHM9BjsRWQ3llKIGcjM,part_305,2026-09-20 20:16:35
TenderChops - A cut above perfection,Paan and FMCG Stall,Fresh food market,Fresh food market,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 90379 11962,N/A,4.5,,"Pathanamthitta-Thazhoorkadavu Rd, near BPCL pump, Azhoor, Pathanamthitta, Keralam 689645",Azhoor,9.2588384,76.7847678,ChIJGaJ92esVBjsR4_SB7Jp656s,https://www.google.com/maps/place/?q=place_id:ChIJGaJ92esVBjsR4_SB7Jp656s,part_305,2026-09-20 20:16:35
NEW MALABAR Sweets & Snacks,Paan and FMCG Stall,Sweet shop,Sweet shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.3,,"5QQC+M99, Kodumon, Keralam 691555",689586,9.1891531,76.77096929999999,ChIJfeiZ9p0TBjsRDw0we0Ab2e4,https://www.google.com/maps/place/?q=place_id:ChIJfeiZ9p0TBjsRDw0we0Ab2e4,part_305,2026-09-20 20:16:35
Neyyan Sweets,Paan and FMCG Stall,Sweet shop,Sweet shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.4,,"Madappally, Keralam 686546",689586,9.457042699999999,76.58130919999999,ChIJMXDtLY8lBjsRc-g-szN3f_A,https://www.google.com/maps/place/?q=place_id:ChIJMXDtLY8lBjsRc-g-szN3f_A,part_305,2026-09-20 20:16:35
S N Bakers and Super Bazaar,Paan and FMCG Stall,Grocery store,Grocery store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 4734 250 469,N/A,3.8,,"6MFG+R88, Kochalummoodu - Pandalam Rd, Pandalam, Keralam 689501",689586,9.2245499,76.6758176,ChIJVSVR0TwXBjsR9zOopyUGeGM,https://www.google.com/maps/place/?q=place_id:ChIJVSVR0TwXBjsR9zOopyUGeGM,part_305,2026-09-20 20:16:35
Elanthoor Market,Paan and FMCG Stall,Market,Market,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,3.9,,"7PVF+MG4, Elanthoor, Keralam 689643",689586,9.294148999999999,76.7238325,ChIJ5a1TDfg9BjsRKVfDCo5PI8U,https://www.google.com/maps/place/?q=place_id:ChIJ5a1TDfg9BjsRKVfDCo5PI8U,part_305,2026-09-20 20:16:35
Kottangal Halwa,Paan and FMCG Stall,Sweet shop,Sweet shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.8,,"Kottangal, Keralam 686547",689586,9.464608799999999,76.7292415,ChIJsdudfcs7BjsRya7hxGTSfD0,https://www.google.com/maps/place/?q=place_id:ChIJsdudfcs7BjsRya7hxGTSfD0,part_305,2026-09-20 20:16:35
Pittappillil Agencies,Paan and FMCG Stall,Appliance store,Appliance store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 468 232 7999,https://pittappillilonline.com/,3.9,,"Nannuvakkad, Pathanamthitta, Keralam 689645",Nannuvakkad,9.268811699999999,76.7724552,ChIJ03gdk-QVBjsRtRp3fQ5XWgk,https://www.google.com/maps/place/?q=place_id:ChIJ03gdk-QVBjsRtRp3fQ5XWgk,part_305,2026-09-20 20:16:35
SPOTLINE TRADING,Paan and FMCG Stall,Wholesaler,Wholesaler,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 90724 81845,N/A,4.2,,"Spotline Trading, Pullad, Kerala 689548",689586,9.3607081,76.6810145,ChIJp-VFuog9BjsRk5OJDh9P_OM,https://www.google.com/maps/place/?q=place_id:ChIJp-VFuog9BjsRk5OJDh9P_OM,part_305,2026-09-20 20:16:35
Arabian Bakery & Supermarket,Paan and FMCG Stall,Supermarket,"Supermarket, Bakery and Cake Shop",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 95268 87581,N/A,3.8,,"Manakala, Keralam 691551",689586,9.1340662,76.7201683,ChIJP9HysO8RBjsRtEnf-CIXb9U,https://www.google.com/maps/place/?q=place_id:ChIJP9HysO8RBjsRtEnf-CIXb9U,part_305,2026-09-20 20:16:35
Babu Pan Shop,Paan and FMCG Stall,Paan shop,Paan shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94962 49166,N/A,4.3,,"FX78+FPC, Maruthoorkadavu, Thiruvananthapuram, Keralam 695002",Maruthoorkadavu,8.4636944,76.9667769,ChIJQ2kIWuC6BTsRuwE8Ll2zka8,https://www.google.com/maps/place/?q=place_id:ChIJQ2kIWuC6BTsRuwE8Ll2zka8,part_305,2026-09-20 20:16:35
Mammi Chedathy’s Food Products,Paan and FMCG Stall,Food products supplier,Food products supplier,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 481 258 2022,N/A,4.0,,"HGV6+PPG, Kottayam Thiruvarppu Rd, Near Skyline Alton Heights, Puthenangady, Kottayam, Keralam 686001",Puthenangady,9.5943065,76.5118377,ChIJoyiOFNRcVBARRpzD2HFVumI,https://www.google.com/maps/place/?q=place_id:ChIJoyiOFNRcVBARRpzD2HFVumI,part_305,2026-09-20 20:16:35
Attuvasseril Enterprises,Paan and FMCG Stall,Wholesaler,Wholesaler,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 81570 82261,N/A,5.0,,"FM2W+544, Sasthamkoickal, Vaipur, Keralam 689588",Sasthamkoickal,9.450384699999999,76.69532579999999,ChIJuxo3DDA7BjsRg3ZgV0YLr5w,https://www.google.com/maps/place/?q=place_id:ChIJuxo3DDA7BjsRg3ZgV0YLr5w,part_305,2026-09-20 20:16:35
The paan veeda,Paan and FMCG Stall,Paan shop,Paan shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98771 63196,http://www.thepaanveeda.com/,3.4,7.0,"Kumily kottayam rode, Keralam 685533",689586,9.5751252,77.0936546,ChIJjaWJt0ZTBjsRNOwqkGRzeUM,https://www.google.com/maps/place/?q=place_id:ChIJjaWJt0ZTBjsRNOwqkGRzeUM,part_305,2026-09-20 20:16:36
