business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NOVA AUTO SPA,Car Wash and Auto Detailing,Car wash,Car wash,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 95445 75767,N/A,4.8,,"Njakkanal, Oachira, Keralam 690526",Njakkanal,9.1375689,76.5180542,ChIJaUUCfsgdBjsRDn5uYfq8mMI,https://www.google.com/maps/place/?q=place_id:ChIJaUUCfsgdBjsRDn5uYfq8mMI,part_307,2026-09-20 20:16:46
Washman Carwash and Autospa,Car Wash and Auto Detailing,Car wash,Car wash,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96453 54525,N/A,5.0,,"Puthiyakavu - Chakkuvally Rd, near TB Hospital, Puthiyakavu, Kulasekharapuram, Adinad, Keralam 690544",Puthiyakavu,9.0777536,76.53490339999999,ChIJi1UwmMsDBjsRtRpwe0cvGsA,https://www.google.com/maps/place/?q=place_id:ChIJi1UwmMsDBjsRtRpwe0cvGsA,part_307,2026-09-20 20:16:46
TURBOMINDS MOTORSPORTS,Car Wash and Auto Detailing,Car wash,"Car wash, Bike wash, Paint store",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 82818 31139,N/A,5.0,,"Valiyakungara, Karunagapally, Keralam 690526",Valiyakungara,9.1169567,76.5192678,ChIJZSJPUgAdBjsRPuZtf4DH_Qo,https://www.google.com/maps/place/?q=place_id:ChIJZSJPUgAdBjsRPuZtf4DH_Qo,part_307,2026-09-20 20:16:46
AUTOPRO WASH,Car Wash and Auto Detailing,Car wash,"Car wash, Auto painting",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 80898 51122,https://www.instagram.com/autoprowashh?igsh=djEyaWZpcW10cTNj,4.8,,"Sree Bhuddha, Road AVHS, Puthiyakavu, Karunagappalli, Edakulangara, Keralam 690523",Puthiyakavu,9.0813817,76.5568098,ChIJ3dUnDQAFBjsRqPCL96oloLc,https://www.google.com/maps/place/?q=place_id:ChIJ3dUnDQAFBjsRqPCL96oloLc,part_307,2026-09-20 20:16:46
H2O car hub,Car Wash and Auto Detailing,Car wash,Car wash,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 98474 85804,N/A,4.7,,"5G22+MH, Kayamkulam, Keralam 690533",690526,9.1517742,76.5014285,ChIJ6UmyN-0dBjsRITVXaxz-YTY,https://www.google.com/maps/place/?q=place_id:ChIJ6UmyN-0dBjsRITVXaxz-YTY,part_307,2026-09-20 20:16:46
KYKA Car wash and detailing studio,Car Wash and Auto Detailing,Car wash,"Car wash, Auto Accessories Wholesaler, Auto body shop, Auto Dent Removal Service Station, Auto electrical service, Auto glass repair service, Auto painting, Auto parts store, Auto window tinting service, Car stereo store",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 70129 02881,N/A,4.7,,"onnam kutty jn, Kayamkulam, Keralam 690502",690526,9.1759088,76.5157048,ChIJhwL3HfYdBjsRgR8ErXdVWkY,https://www.google.com/maps/place/?q=place_id:ChIJhwL3HfYdBjsRgR8ErXdVWkY,part_307,2026-09-20 20:16:46
GRAND - CAR WASH - SERVICE STATION,Car Wash and Auto Detailing,Car wash,"Car wash, Bike wash",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94973 55877,N/A,,,"Prayar Prayar, Kayamkulam - Prayar Rd, Oachira, Puthuppally, Keralam 690527",690526,9.138285699999999,76.5000901,ChIJ_bSG2gAdBjsReySGIJU4z6g,https://www.google.com/maps/place/?q=place_id:ChIJ_bSG2gAdBjsReySGIJU4z6g,part_307,2026-09-20 20:16:46
Cloud 5 Auto Concept,Car Wash and Auto Detailing,Auto restoration service,Auto restoration service,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 90722 05000,https://cloud5autoconcept.com/,4.7,,"Ashramam Rd, Uliyakovil East, Asramam, Kollam, Keralam 691002","Uliyakovil East, Asramam",8.8957152,76.5950975,ChIJ7f0cv_f9BTsROi-Fp9Z0Y30,https://www.google.com/maps/place/?q=place_id:ChIJ7f0cv_f9BTsROi-Fp9Z0Y30,part_307,2026-09-20 20:16:46
Splash Car wash,Car Wash and Auto Detailing,Car wash,Car wash,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 70125 84802,N/A,4.7,,"Menatheril, Kayamkulam, Keralam 690533",Menatheril,9.1569006,76.51963789999999,ChIJxz1i0UQdBjsRvd932AGxlKY,https://www.google.com/maps/place/?q=place_id:ChIJxz1i0UQdBjsRvd932AGxlKY,part_307,2026-09-20 20:16:46
S M service station,Car Wash and Auto Detailing,Car wash,Car wash,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.6,,"4G49+WW5, Changankulangara, Vavvakkavu, Keralam 690528",Changankulangara,9.107261,76.51987299999999,ChIJfVSlTDEDBjsR3sc-JBQmqJ4,https://www.google.com/maps/place/?q=place_id:ChIJfVSlTDEDBjsR3sc-JBQmqJ4,part_307,2026-09-20 20:16:46
