business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kerala Paints Sanitary & Hardware,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 98951 79579,N/A,4.8,30.0,"WH85+6R7 Sangeeta junction, Ramankulangara, Kavanad, Kollam, Keralam 691003","Ramankulangara, Kavanad",8.9104729,76.5605078,ChIJbcSn8fr9BTsRlQ2bnMpZg_4,https://www.google.com/maps/place/?q=place_id:ChIJbcSn8fr9BTsRlQ2bnMpZg_4,part_308,2026-09-20 20:16:51
Das Paints,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99477 27284,N/A,4.6,37.0,"Koottikkada Thattamala Rd, Arivalmukku, Koottikada, Mayyanad, Keralam 691011","Arivalmukku, Koottikada",8.8586648,76.6374434,ChIJCdbSmQX7BTsRWbKcyASHElY,https://www.google.com/maps/place/?q=place_id:ChIJCdbSmQX7BTsRWbKcyASHElY,part_308,2026-09-20 20:16:51
Adarsh Paints,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99473 61602,https://www.justdial.com/Kollam/Adarsh-Paints-Paravur/9999PX474-X474-230328202011-U2X6_BZDET,4.6,145.0,"near DCC Office, Kochupilammood, Mundakkal Village, Kollam, Keralam 691001","Kochupilammood, Mundakkal Village",8.8780169,76.5943472,ChIJWTWgIGD8BTsRWLr--tW2IOI,https://www.google.com/maps/place/?q=place_id:ChIJWTWgIGD8BTsRWLr--tW2IOI,part_308,2026-09-20 20:16:51
Mubarak Paints,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99474 30672,https://www.mubarakpaints.in/,4.2,133.0,"Polayathode-Chayakkadamukku Rd, Polayathodu, Kollam, Keralam 691021",Polayathodu,8.879371299999999,76.60686369999999,ChIJBddHq5L8BTsR2xNmEYNFbc4,https://www.google.com/maps/place/?q=place_id:ChIJBddHq5L8BTsR2xNmEYNFbc4,part_308,2026-09-20 20:16:51
The Quilon Traders,Paint and Putty Dealer,Paint store,"Paint store, Solar Energy Company",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 70126 15002,https://www.facebook.com/profile.php?id=61560020998962,5.0,37.0,"49/2630-B, Curzon Road Gate, 2, Cutchery ward, near Sumangali Auditorium, Kollam, Keralam 691013",Vidya Nagar,8.8885163,76.5763285,ChIJL979eM79BTsRrE1coFPkhXg,https://www.google.com/maps/place/?q=place_id:ChIJL979eM79BTsRrE1coFPkhXg,part_308,2026-09-20 20:16:51
KERALA PAINTS KOTTIYAM,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 81118 69359,https://keralapaints.com/,4.8,5.0,"Kottiyam, Keralam 691571",691303,8.865470499999999,76.6736671,ChIJSy77MQDjBTsRAnEeVwDjlK8,https://www.google.com/maps/place/?q=place_id:ChIJSy77MQDjBTsRAnEeVwDjlK8,part_308,2026-09-20 20:16:51
Kp paints,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 98477 08807,N/A,4.6,28.0,"VJC5+47P, Polayathode-Chayakkadamukku Rd, Mundakkal, Kollam, Keralam 691001",Mundakkal,8.8703323,76.6082115,ChIJMZWNjjf9BTsRBIPc6wvXeM8,https://www.google.com/maps/place/?q=place_id:ChIJMZWNjjf9BTsRBIPc6wvXeM8,part_308,2026-09-20 20:16:51
FAIHA TRADERS,Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 96334 43588,N/A,3.9,19.0,"Kottiyam - Kundara Rd, Thazhuthala, Keralam 691576",691303,8.8904889,76.6790628,ChIJazQ3KTHjBTsReS0aLQr47Gs,https://www.google.com/maps/place/?q=place_id:ChIJazQ3KTHjBTsReS0aLQr47Gs,part_308,2026-09-20 20:16:51
Mubarak Paints,Paint and Putty Dealer,Paint store,"Paint store, Waterproofing service",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99474 30672,http://www.mubarakpaints.in/,4.5,128.0,"PARAKULAM, KOTTIYAM P.O KOLLAM കൊട്ടിയം OPP. ICICI BANK, near IOC PETROL PUMP, Kottiyam, Keralam 691571","Pattaru Mukku, Umayanalloor",8.8658264,76.6627839,ChIJD7qTb2TjBTsRZKbu5K07I4E,https://www.google.com/maps/place/?q=place_id:ChIJD7qTb2TjBTsRZKbu5K07I4E,part_308,2026-09-20 20:16:51
Asian Paints(SABI ENTERPRISES),Paint and Putty Dealer,Paint store,Paint store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 98472 82688,N/A,4.2,13.0,"S.V Takies Jn, Kadapakkada, Kollam, Keralam 691008","Priyadarshini Nagar, Kadapakkada",8.8987721,76.6118546,ChIJB4KMLuL8BTsReaoI_C3e7to,https://www.google.com/maps/place/?q=place_id:ChIJB4KMLuL8BTsReaoI_C3e7to,part_308,2026-09-20 20:16:51
