business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GBROS office,Offices,Corporate office,Corporate office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,3.0,"4G99+FVJ, NH 66, Oachira, Keralam 690526",690526,9.1191619,76.5193151,ChIJ_UqZ8kQdBjsRHt09bxUFa8E,https://www.google.com/maps/place/?q=place_id:ChIJ_UqZ8kQdBjsRHt09bxUFa8E,part_307,2026-09-20 20:17:09,5207
Sub Registrar Office,Offices,Registry office,Registry office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 476 269 8907,http://www.keralaregistration.gov.in/,4.5,10.0,"4GP7+C3W, Ochira Rd, opp. to Parabrahma Temple, Oachira, Kerala 690526",690526,9.136109,76.5126902,ChIJ1wvSlOccBjsRq3DNBb3f3y0,https://www.google.com/maps/place/?q=place_id:ChIJ1wvSlOccBjsRq3DNBb3f3y0,part_307,2026-09-20 20:17:09,5208
Oachira Village Office,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 474 269 6800,N/A,4.8,6.0,"4GP7+C2Q, Oachira Ayiramthengu Rd, Oachira, Keralam 690526",690526,9.1360937,76.5126094,ChIJn4yFf90cBjsRH89y9L-lMHA,https://www.google.com/maps/place/?q=place_id:ChIJn4yFf90cBjsRH89y9L-lMHA,part_307,2026-09-20 20:17:09,5209
Office of The Assistant Engineer KWA Oachira,Offices,State government office,State government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,3.7,3.0,"4GP5+3FH, Oachira, Keralam 690526",690526,9.1351851,76.50872939999999,ChIJv6Z7frcdBjsR5sJGTsNBh5U,https://www.google.com/maps/place/?q=place_id:ChIJv6Z7frcdBjsR5sJGTsNBh5U,part_307,2026-09-20 20:17:09,5210
PWD Roads Section Office,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.5,2.0,"4GM7+G8H, Oachira, Keralam 690526",690526,9.133824599999999,76.51334849999999,ChIJXZzMR90cBjsRg3T1aO60-Ms,https://www.google.com/maps/place/?q=place_id:ChIJXZzMR90cBjsRg3T1aO60-Ms,part_307,2026-09-20 20:17:09,5211
Milk Products Training and Development Centre,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.8,5.0,"4GG8+W2J Oachira Super Fast Bus Stop, Panvel - Kochi - Kanyakumari Hwy, Salem, Oachira, Keralam 690526",690526,9.1273295,76.5150075,ChIJtXn-P5EdBjsR9WAz9Gjdk0Q,https://www.google.com/maps/place/?q=place_id:ChIJtXn-P5EdBjsR9WAz9Gjdk0Q,part_307,2026-09-20 20:17:09,5212
Ochira Agriculture office,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,https://keralaagriculture.gov.in/,5.0,1.0,"4G8H+H2C, Kottampally, Keralam 690526",690526,9.1164281,76.5275042,ChIJ3QVqvvUdBjsRgESEv2pjHfQ,https://www.google.com/maps/place/?q=place_id:ChIJ3QVqvvUdBjsRgESEv2pjHfQ,part_307,2026-09-20 20:17:09,5213
GRAMIN e CENTRE,Offices,Social welfare center,Social welfare center,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 81138 70304,N/A,5.0,5.0,"GRAMIN e CENTRE, opp. : GRAMA PANCHAYATH OFFICE, Oachira, Keralam 690526",690526,9.1321383,76.5129862,ChIJpexoPoMdBjsR3-eV4-mhHhU,https://www.google.com/maps/place/?q=place_id:ChIJpexoPoMdBjsR3-eV4-mhHhU,part_307,2026-09-20 20:17:09,5214
Oachira Grama Panchayat,Offices,Local government office,Local government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 476 269 0232,N/A,4.3,23.0,"4GJ7+R4P, Oachira, Keralam 690526",690526,9.1320927,76.5128352,ChIJ3ZDDyKsdBjsRnfUPwbfPE5U,https://www.google.com/maps/place/?q=place_id:ChIJ3ZDDyKsdBjsRnfUPwbfPE5U,part_307,2026-09-20 20:17:09,5215
Oachira ADA office,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,,,"4GJ7+X37, Oachira, Keralam 690526",690526,9.1324018,76.5126784,ChIJlS1x3LUdBjsRC9t5D-5_7LI,https://www.google.com/maps/place/?q=place_id:ChIJlS1x3LUdBjsRC9t5D-5_7LI,part_307,2026-09-20 20:17:09,5216
BFIL OCHIRA,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,3.7,7.0,"4GH4+PVW, As Baith Rd, Oachira, Kerala 690526",690526,9.1293547,76.50719289999999,ChIJo2fkYM8dBjsRo9qNmt4JP1w,https://www.google.com/maps/place/?q=place_id:ChIJo2fkYM8dBjsRo9qNmt4JP1w,part_307,2026-09-20 20:17:09,5217
Oachira Block Panchayat Office,Offices,Regional government office,"Regional government office, Government office",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 476 269 0270,N/A,4.5,6.0,"4G69+CJJ, Pazhaya Rd, Changankulangara, Keralam 690526",Changankulangara,9.111099,76.5190167,ChIJO5atdTMDBjsR4AgYEWVl3Ks,https://www.google.com/maps/place/?q=place_id:ChIJO5atdTMDBjsR4AgYEWVl3Ks,part_307,2026-09-20 20:17:09,5218
Punartham Bricks,Offices,Corporate office,Corporate office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94007 78717,N/A,3.0,10.0,"4G9F+XJX, Oachira, Keralam 690526",690526,9.119987,76.524096,ChIJKaA2axIdBjsRVGAW_KsGA00,https://www.google.com/maps/place/?q=place_id:ChIJKaA2axIdBjsRVGAW_KsGA00,part_307,2026-09-20 20:17:09,5219
Changankulangara Block office junction,Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.3,4.0,"4G69+GPJ, Changankulangara, Keralam 690526",Changankulangara,9.111330299999999,76.5192637,ChIJJW3cPVUDBjsRavJ7RjcNqNg,https://www.google.com/maps/place/?q=place_id:ChIJJW3cPVUDBjsRavJ7RjcNqNg,part_307,2026-09-20 20:17:09,5220
NR TRADERS,Offices,Corporate office,Corporate office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 80898 91389,N/A,5.0,1.0,"4GG7+J2C, Oachira, Keralam 690526",690526,9.1265653,76.51250569999999,ChIJK6zQ6AsdBjsRSZgLQ6AMrbc,https://www.google.com/maps/place/?q=place_id:ChIJK6zQ6AsdBjsRSZgLQ6AMrbc,part_307,2026-09-20 20:17:09,5221
SYS SSF OFFICE,Offices,Corporate office,Corporate office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,1.0,"4GM7+MC6, Oachira, Kerala 690526",690526,9.134159,76.513508,ChIJJ_JhNDkdBjsRFDaAAtBcKF0,https://www.google.com/maps/place/?q=place_id:ChIJJ_JhNDkdBjsRFDaAAtBcKF0,part_307,2026-09-20 20:17:09,5222
DEI COURIER & ONLINE SEVICE,Offices,Corporate office,Corporate office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,,,"4GM7+RJ8, Oachira, Kerala 690526",690526,9.1345269,76.5140895,ChIJgc6tDK4dBjsR-dHcxp1-cq4,https://www.google.com/maps/place/?q=place_id:ChIJgc6tDK4dBjsR-dHcxp1-cq4,part_307,2026-09-20 20:17:09,5223
Q space,Offices,Coworking space,Coworking space,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 70127 57251,https://www.qspaceinfo.in/,4.7,13.0,"Kurumpelil Avenue, Polayathodu, Kollam, Keralam 691021",Polayathodu,8.87866,76.60904099999999,ChIJQRI2IqD9BTsRLZy1dLH-_OA,https://www.google.com/maps/place/?q=place_id:ChIJQRI2IqD9BTsRLZy1dLH-_OA,part_307,2026-09-20 20:17:09,5224
KSEB Ltd. Ochira Kerala Samsthana Vaidyuthi Board,Offices,Offices,Offices,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 476 269 0244,http://kseb.in/,1.8,170.0,"4GQ6+MRW, Ochira Rd, Oachira, Krishnapuram, Keralam 690533",690526,9.1392276,76.51207529999999,ChIJhUwpq-ccBjsRjHS7Yt76UEE,https://www.google.com/maps/place/?q=place_id:ChIJhUwpq-ccBjsRjHS7Yt76UEE,part_307,2026-09-20 20:17:09,5225
Irats Rope Access Training Centre & Service (Irata Certified),Offices,Training center,"Training center, High ropes course",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97444 46600,https://irats.org/,5.0,1108.0,"Oachira, Keralam 690526",690526,9.1275968,76.50940899999999,ChIJGQv5bJ0dBjsReimi8Ay26E0,https://www.google.com/maps/place/?q=place_id:ChIJGQv5bJ0dBjsReimi8Ay26E0,part_307,2026-09-20 20:17:09,5226
Office revolving chair service and spares,Offices,Office equipment repair service,Office equipment repair service,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96450 51944,N/A,4.9,10.0,"Changankulangara, Karunagapally, Keralam 690528",Changankulangara,9.1085823,76.5268732,ChIJJ4zFAcMDBjsRsdK0lci6r9s,https://www.google.com/maps/place/?q=place_id:ChIJJ4zFAcMDBjsRsdK0lci6r9s,part_307,2026-09-20 20:17:09,5227
Thattaru Vadakkathil,Offices,Corporate office,Corporate office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,2.0,"4G8M+C5X, Kottampally LPS Rd, Kottampally, Keralam 690526",690526,9.1161236,76.5329994,ChIJWVItbt8dBjsRUQrpgDlMzd4,https://www.google.com/maps/place/?q=place_id:ChIJWVItbt8dBjsRUQrpgDlMzd4,part_307,2026-09-20 20:17:09,5228
"Post Office, Madathil Karanma",Offices,Post office,Post office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.7,3.0,"4GCQ+F45, Madhathil Karanma - Vayanakam Market Rd, Keralam 690526",690526,9.1211358,76.5378454,ChIJoeyNIq4cBjsR4MFqGKeTahk,https://www.google.com/maps/place/?q=place_id:ChIJoeyNIq4cBjsR4MFqGKeTahk,part_307,2026-09-20 20:17:09,5229
Post Office Vavvakkavu,Offices,Post office,Post office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 476 269 0262,N/A,4.3,8.0,"4G3C+H2X, NH 66, Changankulangara, Vavvakkavu, Keralam 690528",Changankulangara,9.1039854,76.5201154,ChIJsdGGSDcDBjsRt1K9S42TTKc,https://www.google.com/maps/place/?q=place_id:ChIJsdGGSDcDBjsRt1K9S42TTKc,part_307,2026-09-20 20:17:09,5230
Clappana Village Office (ക്ലാപ്പന വില്ലേജ് ഓഫീസ്),Offices,Government office,Government office,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,1.0,"Varavila P O, Clappana, Keralam 690528",690526,9.1111569,76.50881609999999,ChIJl0GL19wDBjsRGburTN0S10w,https://www.google.com/maps/place/?q=place_id:ChIJl0GL19wDBjsRGburTN0S10w,part_307,2026-09-20 20:17:09,5231
"Village office, Puthuppally, Devikulangara",Offices,Government office,Government office,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,3.7,11.0,"4FXW+5HH, Vadakke Anjilimoodu Rd, Puthuppally, Kerala 690527",690527,9.1479356,76.49649149999999,ChIJf4OCutEdBjsR5gRYPKXyYes,https://www.google.com/maps/place/?q=place_id:ChIJf4OCutEdBjsR5gRYPKXyYes,part_307,2026-09-20 20:17:46,9485
Aarattupuzha Malsya bhavan- kayamkulam office,Offices,Government office,Government office,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,3.0,1.0,"5FCW+97W Maldya bhavan, Kayamkulam, Keralam 690502",690527,9.1709851,76.4957002,ChIJlxoAyq0dBjsRgZgMV0pV0oc,https://www.google.com/maps/place/?q=place_id:ChIJlxoAyq0dBjsRgZgMV0pV0oc,part_307,2026-09-20 20:17:46,9486
Akshaya E Centre,Offices,Corporate office,Corporate office,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,http://www.akshaya.kerala.gov.in/,5.0,6.0,"Puthuppally, Keralam 690535",690527,9.1637063,76.4909748,ChIJ2QKFgKUdBjsR9cPOcxR1FOQ,https://www.google.com/maps/place/?q=place_id:ChIJ2QKFgKUdBjsR9cPOcxR1FOQ,part_307,2026-09-20 20:17:46,9487
akshayaambalapattu,Offices,Corporate office,Corporate office,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 479 244 5369,N/A,4.0,1.0,"Puthuppally, Keralam 690535",690527,9.163687099999999,76.4909681,ChIJE2KagKUdBjsR7Wk161_eKCk,https://www.google.com/maps/place/?q=place_id:ChIJE2KagKUdBjsR7Wk161_eKCk,part_307,2026-09-20 20:17:46,9488
Devikulangara Panchayath Office,Offices,Local government office,Local government office,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 479 244 5953,N/A,3.7,15.0,"4FXW+7Q6, Puthuppally, Keralam 690527",690527,9.1481739,76.4968901,ChIJ144BgAQdBjsRvDpFDnltBOU,https://www.google.com/maps/place/?q=place_id:ChIJ144BgAQdBjsRvDpFDnltBOU,part_307,2026-09-20 20:17:46,9489
