business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hanna Pets Home,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 96334 18052,N/A,5.0,145.0,"Manjinikkra, Manjinikkara, Pathanamthitta, Keralam 689647",Mathoor,9.2421457,76.741404,ChIJJReoXCMVBjsRRO1vS11OouM,https://www.google.com/maps/place/?q=place_id:ChIJJReoXCMVBjsRRO1vS11OouM,part_306,2026-09-20 20:16:36,395
Mickey Pets & Accessories,Pet Food and Pet Supplies,Store,Store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 96059 62521,N/A,3.9,538.0,"Valanchuzhy, Mallassery, Pathanamthitta, Keralam 689646",Valanchuzhy,9.2668397,76.79423489999999,ChIJ9f___-gUBjsR36osOIEojXs,https://www.google.com/maps/place/?q=place_id:ChIJ9f___-gUBjsR36osOIEojXs,part_306,2026-09-20 20:16:36,396
mia petfood,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.5,31.0,"6MFP+HMF, Pandalam, Keralam 689501",689675,9.223948,76.6866664,ChIJbfqdg6UXBjsRA9wcXkWeUs0,https://www.google.com/maps/place/?q=place_id:ChIJbfqdg6UXBjsRA9wcXkWeUs0,part_306,2026-09-20 20:16:36,397
Golden Pet Point,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94471 58686,N/A,3.8,45.0,"8PQ2+99H, SH7, Maramon, Poovathoor, Keralam 689549",689675,9.338439,76.70098999999999,ChIJYaIzFk08BjsRdmgvSzynRN4,https://www.google.com/maps/place/?q=place_id:ChIJYaIzFk08BjsRdmgvSzynRN4,part_306,2026-09-20 20:16:36,398
Fairland Aquarium,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 95444 95581,N/A,2.9,19.0,"Fairland Aquarium, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.2679283,76.7741944,ChIJOXOWmOcVBjsRZ1c4QumbnK0,https://www.google.com/maps/place/?q=place_id:ChIJOXOWmOcVBjsRZ1c4QumbnK0,part_306,2026-09-20 20:16:36,399
Lovely pets & Aquarium,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 95622 34222,N/A,4.9,26.0,"State Highway 5, Parakode, Keralam 691554",689675,9.1469725,76.7631018,ChIJUW1p4vETBjsRq2zyG3rw6dg,https://www.google.com/maps/place/?q=place_id:ChIJUW1p4vETBjsRq2zyG3rw6dg,part_306,2026-09-20 20:16:36,400
Ashika pets and aquarium,Pet Food and Pet Supplies,Pet supply store,Pet supply store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 95449 70106,N/A,5.0,1.0,"near taluk hospital, Konni, Keralam 689691",689675,9.2306561,76.84622639999999,ChIJVSBbk41rBjsRE9crdUEPWt0,https://www.google.com/maps/place/?q=place_id:ChIJVSBbk41rBjsRE9crdUEPWt0,part_306,2026-09-20 20:16:36,401
Thekkethu aquarium & pet point,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 97475 57011,N/A,2.0,165.0,"Thiruvalla-Kumbazha Hwy,Nr Kozhencherry Bridge,Maramon, Thiruvalla, Keralam 689549",689675,9.3383633,76.70315939999999,ChIJcVGowUw8BjsRYM9v_U5LYcg,https://www.google.com/maps/place/?q=place_id:ChIJcVGowUw8BjsRYM9v_U5LYcg,part_306,2026-09-20 20:16:36,402
Pets World,Pet Food and Pet Supplies,Pet store,Pet store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 80758 74565,N/A,4.8,264.0,"Joys Complex, near Municipal Office, Parass La, Adoor, Keralam 691523",Parass La,9.1575566,76.7300247,ChIJ89ONeGARBjsRK5dUmN-9cuU,https://www.google.com/maps/place/?q=place_id:ChIJ89ONeGARBjsRK5dUmN-9cuU,part_306,2026-09-20 20:16:36,403
Paws N Claws,Pet Food and Pet Supplies,Pet supply store,Pet supply store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 85903 50775,N/A,4.7,9.0,"5QPC+VR2 medical supply store, Kodumon, Kerala 691555",689675,9.1871431,76.77202,ChIJNw3vc08TBjsRKj_y4qWhy98,https://www.google.com/maps/place/?q=place_id:ChIJNw3vc08TBjsRKj_y4qWhy98,part_306,2026-09-20 20:16:36,404
