business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Style Union - Kollam,Mens Wear Showroom,Clothing store,Clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 73040 53032,https://stores.styleunion.in/style-union/clothing-stores-in-kollam/clothing-stores-in-pattathanam/style-union-in-pattathanam-kollam--7663c049-5c3f-4e03-a348-6b7ca136f3aa/home,4.8,8802,"Kayavil Towers, Polayathodu, nearby Masjid, Pattathanam, Kollam, Keralam 691010","Bharanikkavu, Pattathanam",8.8778095,76.6100689,ChIJ98bTiij9BTsR6GqeXcHGaJc,https://www.google.com/maps/place/?q=place_id:ChIJ98bTiij9BTsR6GqeXcHGaJc,part_309,2026-09-20 20:16:38
KL 24 Menswear,Mens Wear Showroom,Clothing store,Clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 95393 96464,N/A,4.8,44,"Ayoor-Anchal Rd, Ayoor, Edamulackal, Keralam 691533",691540,8.898530599999999,76.8616776,ChIJt7VEvFreBTsRI74N3oBbdMI,https://www.google.com/maps/place/?q=place_id:ChIJt7VEvFreBTsRI74N3oBbdMI,part_309,2026-09-20 20:16:38
What U Want Mens clothing store,Mens Wear Showroom,Clothing store,"Clothing store, Clothing wholesaler, Dressmaker, Uniform store",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 98476 42082,https://www.instagram.com/what_u_want_clothing_store?igsh=MXMzZ2hjdzNxbWFqag%3D%3D&utm_source=qr,5.0,5,"Karikuzhi, Mayyanad, Kollam, Mayyanad, Keralam 691020","Karikuzhi, Mayyanad",8.8484661,76.63687279999999,ChIJt_sSnXj7BTsR_wNPB3Hi1Z8,https://www.google.com/maps/place/?q=place_id:ChIJt_sSnXj7BTsR_wNPB3Hi1Z8,part_309,2026-09-20 20:16:38
Flames men's wear,Mens Wear Showroom,Tuxedo shop,Tuxedo shop,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 85929 23242,http://www.instagram.com/flames_kollam,3.8,13,"Bharanikkavu, Polayathodu, Kollam, Keralam 691001","Bharanikkavu, Polayathodu",8.877849699999999,76.6100719,ChIJvZiVGZP8BTsRVtaRcQ7OIq8,https://www.google.com/maps/place/?q=place_id:ChIJvZiVGZP8BTsRVtaRcQ7OIq8,part_309,2026-09-20 20:16:38
"Basics Life, Kollam",Mens Wear Showroom,Men's clothing store,Men's clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 474 274 0049,https://basicslife.com/,4.9,734,"NO: 43/1801/1327, 43, Basheer Building, 1802/1327, Polayathodu, Kollam, Keralam 691021",Polayathodu,8.8782071,76.60995009999999,ChIJdfu8BYf9BTsRS89Hx7JOADc,https://www.google.com/maps/place/?q=place_id:ChIJdfu8BYf9BTsRS89Hx7JOADc,part_309,2026-09-20 20:16:38
Legacy Mens & Kids World,Mens Wear Showroom,Men's clothing store,Men's clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 73563 69386,N/A,5.0,30,"near KSEB Office, Chathannoor, Kerala 691572",691540,8.8637223,76.71083349999999,ChIJS49wPnjjBTsRkmZHisvY8LM,https://www.google.com/maps/place/?q=place_id:ChIJS49wPnjjBTsRkmZHisvY8LM,part_309,2026-09-20 20:16:38
Blazer Hi Fashion,Mens Wear Showroom,Clothing store,Clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 89042 92284,N/A,4.9,213,"1st floor, opp:, Head post office, Kottarakkara, paloor plaza, Kottarakkara, Keralam 691506",Chenthara,9.0000251,76.7712876,ChIJ1Wu67Y4LBjsRB_U7GhBxbvo,https://www.google.com/maps/place/?q=place_id:ChIJ1Wu67Y4LBjsRB_U7GhBxbvo,part_309,2026-09-20 20:16:38
LOOCCA MENS WEDDING,Mens Wear Showroom,Clothing store,Clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 77369 15747,N/A,4.4,286,"near IndusInd Bank, Pallimukku, Kollam, Keralam 691010",Pallimukku,8.8759109,76.62120759999999,ChIJfwe1_pL9BTsRLjkt0_fjVCc,https://www.google.com/maps/place/?q=place_id:ChIJfwe1_pL9BTsRLjkt0_fjVCc,part_309,2026-09-20 20:16:38
SPYKERZ,Mens Wear Showroom,Clothing store,Clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 77364 37255,http://www.spykerz.com/,4.5,28,"Sarathy Junction Bus Stop, NH744, Peroor, Chandanathope, Kollam, Keralam 691005",Chandanathope,8.923491799999999,76.6364748,ChIJI2EQ9jX9BTsRTyeFv_VuDy4,https://www.google.com/maps/place/?q=place_id:ChIJI2EQ9jX9BTsRTyeFv_VuDy4,part_309,2026-09-20 20:16:38
Urban Style Men's Hub,Mens Wear Showroom,Clothing store,Clothing store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 81398 72351,N/A,4.9,37,"Nise Dental Building, Kadakkal Road, Nilamel, Keralam 691535",691540,8.824303,76.8835955,ChIJIZxa2yvdBTsRnVKaHIdkh4c,https://www.google.com/maps/place/?q=place_id:ChIJIZxa2yvdBTsRnVKaHIdkh4c,part_309,2026-09-20 20:16:38
