business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Defense Security & Surveillance,CCTV Installation and Security System,Security system supplier,"Security system supplier, Automation company, Camera store, Closed circuit television, Computer networking service, Computer store, Electronics manufacturer, Home automation company, Security system installation service, Solar Energy Company",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 70255 52265,https://www.defensesecurityit.in/,5.0,,"Palace Nagar, Thevally, Kollam, Keralam 691009","Palace Nagar, Thevally",8.8981353,76.5758738,ChIJkdrgncz9BTsRQgLp7vFl_Cc,https://www.google.com/maps/place/?q=place_id:ChIJkdrgncz9BTsRQgLp7vFl_Cc,part_309,2026-09-20 20:17:05
Sonicvision,CCTV Installation and Security System,Security system supplier,"Security system supplier, Computer networking service, Computer Wholesaler, Security system installation service",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 89436 11718,http://www.sonicvision.in/,4.7,,"Aans Arcade, Kadapakkada, Kollam, Keralam 691008","Priyadarshini Nagar, Kadapakkada",8.898667399999999,76.6114164,ChIJw6f9a-P8BTsR17h12d_Ym5s,https://www.google.com/maps/place/?q=place_id:ChIJw6f9a-P8BTsR17h12d_Ym5s,part_309,2026-09-20 20:17:05
CCTV INSTALLATION AND SERVICE KOLLAM,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera store",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 95390 09935,N/A,4.9,,"Beach Rd, Thamarakulam, Kollam, Keralam 691001",Thamarakulam,8.8805719,76.5920012,ChIJC31CBuP9BTsRAwAYnVvIuCc,https://www.google.com/maps/place/?q=place_id:ChIJC31CBuP9BTsRAwAYnVvIuCc,part_309,2026-09-20 20:17:05
OM SYSTEM AND SERVICE,CCTV Installation and Security System,Security system installation service,"Security system installation service, Closed circuit television, Computer accessories store, Computer networking service, Computer service, Computer software store, Computer support and services, Security system supplier",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 80 6940 9880,https://omsystemandservice.in/,4.5,,"Vellayitambalam, NH-47, near BSNL Office, Thirumullavaram, Kollam, Keralam 691012",Thirumullavaram,8.9005248,76.5639963,ChIJk8ZmZdb9BTsRJjNkLCcoBAg,https://www.google.com/maps/place/?q=place_id:ChIJk8ZmZdb9BTsRJjNkLCcoBAg,part_309,2026-09-20 20:17:05
Techno World Cctv Solutions,CCTV Installation and Security System,Security system installation service,"Security system installation service, Closed circuit television",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 62388 31128,N/A,5.0,,"3GPW+622, Puliyoorvanchi North, PO, Kunneltharayil, Thazhava, Thodiyoor, Keralam 690523","Puliyoorvanchi North, PO, Kunneltharayil",9.0855125,76.5450156,ChIJPZOg610DBjsRYxmAunZHqYA,https://www.google.com/maps/place/?q=place_id:ChIJPZOg610DBjsRYxmAunZHqYA,part_309,2026-09-20 20:17:05
Galaxy CCTV & Security System,CCTV Installation and Security System,Security system installation service,"Security system installation service, Automation company, Burglar alarm store, Home automation company, Electronics store, Security system supplier, Solar energy system service, Solar energy equipment supplier",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 97470 07079,https://www.galaxyservicetech.com/,4.1,,"Kollam - Thiruvananthapuram Rd, Pallimukku, Kollam, Keralam 691010",Pallimukku,8.876225,76.62355,ChIJhSwGzL78BTsRHRarjuE-ZY0,https://www.google.com/maps/place/?q=place_id:ChIJhSwGzL78BTsRHRarjuE-ZY0,part_309,2026-09-20 20:17:05
SAFETECH SECURITY SYSTEMS & DEVICES,CCTV Installation and Security System,Security system supplier,Security system supplier,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 70345 55611,http://www.safetechkollam.com/,4.3,,"KMC/46/1188, N S ARCADE, Beach Rd, Thamarakulam, Kollam, Keralam 691001",Thamarakulam,8.8819387,76.5912764,ChIJvR6pmYD9BTsRR10_zEgUKvs,https://www.google.com/maps/place/?q=place_id:ChIJvR6pmYD9BTsRR10_zEgUKvs,part_309,2026-09-20 20:17:05
Cicom Security Solutions & Home Automation,CCTV Installation and Security System,Security system installation service,Security system installation service,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 86068 48300,N/A,4.9,,"Sk building, nr. muthoot finance, Nellikunnam, Keralam 691527",Nellikunnam,8.9681104,76.77702719999999,ChIJi20NshgLBjsRNgkFw3VEy3I,https://www.google.com/maps/place/?q=place_id:ChIJi20NshgLBjsRNgkFw3VEy3I,part_309,2026-09-20 20:17:05
IT WORLD (IT SOUQ LLP) Cctv installation in kollam,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer accessories store, Computer networking service, Computer repair service, Computer service, Computer Wholesaler, Home automation company, Computer store, Security system supplier, Solar Energy Company",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 95268 89407,http://www.itsouq.in/,5.0,,"Mayyanad - Kottiyam Rd, Kottiyam, Keralam 691571",691540,8.8653442,76.6705729,ChIJb3ST3ZvjBTsRsPBfFbfh6Wc,https://www.google.com/maps/place/?q=place_id:ChIJb3ST3ZvjBTsRsPBfFbfh6Wc,part_309,2026-09-20 20:17:05
Magna Systems & Electronics,CCTV Installation and Security System,Electronics store,Electronics store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 98951 14718,N/A,5.0,,"Kaikara building, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.8864158,76.5894897,ChIJr77JfWL9BTsRAPZ7qmW1okE,https://www.google.com/maps/place/?q=place_id:ChIJr77JfWL9BTsRAPZ7qmW1okE,part_309,2026-09-20 20:17:05
