business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vanchinad Finance Pvt Ltd Ayoor,Microfinance and NBFC,Bank,"Bank, Financial institution",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,https://www.vanchinad.com/,5.0,,"WVF3+RMG THARAMEL PUTHANVEEDU, Vayakal, Keralam 691532",691540,8.9245713,76.85420359999999,ChIJYQ6-ernfBTsRTWKrkC_VxJg,https://www.google.com/maps/place/?q=place_id:ChIJYQ6-ernfBTsRTWKrkC_VxJg,part_309,2026-09-20 20:17:07,4405
Meet Finance Pvt. Ltd.,Microfinance and NBFC,Loan agency,"Loan agency, Service establishment",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 75719 19966,N/A,4.8,,"Meet Finance Pvt. Ltd., 691540, India",691540,23.2816586,80.46263019999999,ChIJaVtGStPB1DsRH1FQee149gs,https://www.google.com/maps/place/?q=place_id:ChIJaVtGStPB1DsRH1FQee149gs,part_309,2026-09-20 20:17:08,4406
Vanchinad Finance Pvt Ltd Alappuzha,Microfinance and NBFC,Bank,Bank,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 80860 97161,https://www.vanchinad.com/,3.0,,"F8GQ+254, SAGARIKA BUILDING, Kalarcode, SANATHANAPURAM, Keralam 688003","Kalarcode, SANATHANAPURAM",9.4750071,76.3379575,ChIJg7lOvAuFCDsRhc0HiHYDQjE,https://www.google.com/maps/place/?q=place_id:ChIJg7lOvAuFCDsRhc0HiHYDQjE,part_309,2026-09-20 20:17:08,4407
First India Credit,Microfinance and NBFC,Financial consultant,"Financial consultant, Car finance and loan company, Insurance company, Loan agency, Money transfer service",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 88007 86319,http://firstindiacredit.com/,4.8,,"88 basement, near india post office, Sant Nagar, East of Kailash, New Delhi, Delhi 110065","Sant Nagar, East of Kailash",28.5529424,77.24930309999999,ChIJqQwuGmbjDDkRs1uuWBUSMBs,https://www.google.com/maps/place/?q=place_id:ChIJqQwuGmbjDDkRs1uuWBUSMBs,part_309,2026-09-20 20:17:08,4408
FUSION MICROFINANCE LTD,Microfinance and NBFC,Bank,Bank,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,3.0,,"WVR5+X7W, Bosepet, Gudiyatham, Tamil Nadu 632602",Bosepet,12.9424753,78.8582169,ChIJ1YRXqkltrTsRFVccrXXRPgo,https://www.google.com/maps/place/?q=place_id:ChIJ1YRXqkltrTsRFVccrXXRPgo,part_309,2026-09-20 20:17:08,4409
Micro Finance,Microfinance and NBFC,Bank,Bank,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,,"Kollad, Keralam 686004",Kollad,9.5637072,76.54263619999999,ChIJ3VIbTvErBjsRPoSZzgSUowg,https://www.google.com/maps/place/?q=place_id:ChIJ3VIbTvErBjsRPoSZzgSUowg,part_309,2026-09-20 20:17:08,4410
FinCrif India,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 99533 33660,https://www.fincrif.com/,4.2,,"C15, Block C, Noida Sector 3, Noida, Uttar Pradesh 201301","Block C, Noida Sector 3",28.581723,77.3197275,ChIJtwiytb3lDDkRMPjjMTWnbh8,https://www.google.com/maps/place/?q=place_id:ChIJtwiytb3lDDkRMPjjMTWnbh8,part_309,2026-09-20 20:17:08,4411
FUSION MICROFINANCE LIMITED,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,https://fusionmicrofinance.com/,4.3,,"C-107, Industrial Area Phase I, Block C, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028","Industrial Area Phase I, Block C, Naraina Industrial Area Phase 1, Naraina",28.631121999999998,77.134475,ChIJgZBeCzsDDTkRvB-l5afCotw,https://www.google.com/maps/place/?q=place_id:ChIJgZBeCzsDDTkRvB-l5afCotw,part_309,2026-09-20 20:17:08,4412
NextFin,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 84488 49696,http://nextfin.in/,4.5,,"Plot no 1536 B, Saraswati Kunj, Near South Point Mall, Sector 53, Gurugram, Haryana 122003","Sarswati Kunj II, Wazirabad, Sector 53",28.437061399999997,77.0837548,ChIJVVVVFaMYDTkRl5-RnondHCs,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFaMYDTkRl5-RnondHCs,part_309,2026-09-20 20:17:08,4413
KNBFC,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 484 416 1616,http://knbfc.org/,4.7,,"Muthoot Towers, Mahatma Gandhi Rd, Shenoys, Kochi, Ernakulam, Keralam 682035",Shenoys,9.9782262,76.2838462,ChIJcyU-5k0NCDsRy8RnJ7tG9bw,https://www.google.com/maps/place/?q=place_id:ChIJcyU-5k0NCDsRy8RnJ7tG9bw,part_309,2026-09-20 20:17:08,4414
First Finance Credit Co Operative Society Limited,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 83280 23612,https://firstfinance.in/,4.2,,"# 403, 4th Floor, 6-3-1247/A, Raj Bhavan Rd, Hyderabad, Telangana 500082",Somajiguda,17.417385799999998,78.46094099999999,ChIJ_bnH1AWXyzsR2j_jpU6gxns,https://www.google.com/maps/place/?q=place_id:ChIJ_bnH1AWXyzsR2j_jpU6gxns,part_309,2026-09-20 20:17:08,4415
NKB Kredit Solutions,Microfinance and NBFC,Loan agency,"Loan agency, Financial consultant",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 75032 11000,https://nkbkredit.com/,4.6,,"GD – ITL 08, 1204, Netaji Subhash Place, Delhi, 110034","Netaji Subhash Place, Shakurpur",28.691577799999997,77.15188669999999,ChIJq6qqVrgDDTkRqoKa_BOyKwE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqVrgDDTkRqoKa_BOyKwE,part_309,2026-09-20 20:17:08,4416
MicroFinance Institutions Network,Microfinance and NBFC,Corporate office,Corporate office,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 1800 102 1080,http://www.mfinindia.org/,5.0,,"4th Floor, Emaar Palm Spring Plaza, Golf Course Rd, Sector 54, Gurugram, Haryana 122009","DLF Phase 5, Sector 54",28.4453313,77.1014562,ChIJA3CfW7MYDTkRr3gSChu2OGg,https://www.google.com/maps/place/?q=place_id:ChIJA3CfW7MYDTkRr3gSChu2OGg,part_309,2026-09-20 20:17:08,4417
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Financial institution, Low income housing program, Mortgage lender",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 90211 11878,https://locations.fedfina.com/financial-services-in-rajnagar-nagpur-maharashtra/home,5.0,,"3rd Floor, Acharaj Towers-2, 304, Chhaoni Rd, Chaoni Square, Rajnagar, Sagar, Nagpur, Maharashtra 440013","Chaoni Square, Rajnagar",21.1682378,79.0788161,ChIJwZ4sXXHB1DsRHJa51_Z-4MA,https://www.google.com/maps/place/?q=place_id:ChIJwZ4sXXHB1DsRHJa51_Z-4MA,part_309,2026-09-20 20:17:08,4418
Invest Gold & General Finance Corporate Office (HO),Microfinance and NBFC,Financial institution,"Financial institution, Loan agency",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 70340 00444,https://investgoldfinance.com/,5.0,,"HP Petrol Pump, First Floor, Invest Complex Urakam PO Oppo Delfrez - Chicken, near Urakam, Thrissur, Keralam 680562",Urakam,10.426680099999999,76.2160182,ChIJv3pARTfxpzsRmN-IrxZf0p4,https://www.google.com/maps/place/?q=place_id:ChIJv3pARTfxpzsRmN-IrxZf0p4,part_309,2026-09-20 20:17:08,4419
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 80 6961 7173,https://locations.fedfina.com/financial-services-in-sanjeeva-reddy-nagar-hyderabad-telangana/home,5.0,,"1st Flr, Sahithi Arcade, No. 7-1-621 /259, M.I.G.-66, SR Nagar Main Rd, opp. Lassi Klub, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038","Srinivasa Nagar, Sanjeeva Reddy Nagar",17.441467199999998,78.4476188,ChIJ4-wySs6RyzsRLh4DDnVai0s,https://www.google.com/maps/place/?q=place_id:ChIJ4-wySs6RyzsRLh4DDnVai0s,part_309,2026-09-20 20:17:08,4420
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Mortgage broker",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 80 4190 0283,https://www.fedfina.com/,3.7,,"Door #5, Ground Floor, Jeevan Bheema Nagar main road, HAL 3rd Stage, DOS Colony, Jeevan Bima Nagar, Bengaluru, Karnataka 560075","HAL 3rd Stage, DOS Colony, Jeevan Bima Nagar",12.9674689,77.6546415,ChIJLx46eAAUrjsRqvLvIsVwrMI,https://www.google.com/maps/place/?q=place_id:ChIJLx46eAAUrjsRqvLvIsVwrMI,part_309,2026-09-20 20:17:08,4421
ACHANI FINANCIERS,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 474 270 0074,N/A,3.2,,"WHC5+FGW, Panvel - Kochi - Kanyakumari Hwy, Kavanad, Kollam, Keralam 691003",Kavanad,8.921225399999999,76.5588368,ChIJ_8nkjOf9BTsRiCDNYwctRhI,https://www.google.com/maps/place/?q=place_id:ChIJ_8nkjOf9BTsRiCDNYwctRhI,part_309,2026-09-20 20:17:08,4422
SMFG India Credit Co. Ltd. - Poothole (Urban Branch),Microfinance and NBFC,Financial institution,"Financial institution, Loan agency",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 1800 103 6001,https://branches.smfgindiacredit.com/Poothole-Thrissur-branch-435821/Home?utm_source=locator&utm_medium=googleplaces,3.4,,"1st floor, Presidency Shopping Complex, Off, MG Road, Poothole, Thrissur, Keralam 680004","Kuttipuzha Nagar, Poothole",10.521600399999999,76.20500679999999,ChIJtTSFpYbvpzsRGNIKX2d35ug,https://www.google.com/maps/place/?q=place_id:ChIJtTSFpYbvpzsRGNIKX2d35ug,part_309,2026-09-20 20:17:08,4423
Shriram Finance Limited,Microfinance and NBFC,Financial institution,"Financial institution, Bank, Car finance and loan company, Finance broker, Insurance broker, Insurance company, Investment service, Loan agency, Private Sector Bank",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 1800 410 7711,https://nearme.shriramfinance.in/kerala/kollam/kollam-branch,3.0,,"1st Floor, Oasis Tower, Prathibha Junction, TC No 17, 1414, Kadapakkada, Kollam, Keralam 691008",Kadapakkada,8.8945892,76.6073332,ChIJDWz3Hq_9BTsRyKdYDczGx2M,https://www.google.com/maps/place/?q=place_id:ChIJDWz3Hq_9BTsRyKdYDczGx2M,part_309,2026-09-20 20:17:08,4424
KSFE ANCHAL-II,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 94477 97188,https://ksfe.com/,5.0,,"GROUND FLOOR, MELATHIL BUILDING, opp. MINI CIVIL STATION, Anchal, Keralam 691306",691540,8.9273426,76.9063673,ChIJl2bgGg7fBTsReZrhlTaPGEQ,https://www.google.com/maps/place/?q=place_id:ChIJl2bgGg7fBTsReZrhlTaPGEQ,part_309,2026-09-20 20:17:08,4425
Vanchinad Finance Private Limited,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 484 485 3300,https://vanchinad.com/,5.0,2.0,"2G6P+RGX, Edappallykotta, Panmana, Keralam 691583",Edappallykotta,9.0121051,76.53634819999999,ChIJs0BW5EUBBjsRIPWrqo0oruI,https://www.google.com/maps/place/?q=place_id:ChIJs0BW5EUBBjsRIPWrqo0oruI,part_309,2026-09-20 20:17:09,4426
jmj Finance Ltd.,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 96569 11555,N/A,5.0,2.0,"Vayakal, Keralam 691532",691540,8.9273822,76.8544361,ChIJPdABor7fBTsRm0oML3JNRc4,https://www.google.com/maps/place/?q=place_id:ChIJPdABor7fBTsRm0oML3JNRc4,part_309,2026-09-20 20:17:09,4427
Vanchinad Finance (P) Ltd. Kollam,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 80860 95328,http://smlfinance.com/,2.8,4.0,"VHRR+C48, Residency Rd, Asramam, Kollam, Keralam 691001",Asramam,8.891029699999999,76.59032719999999,ChIJ0ZfdOFf8BTsRgVTgn_4ugeM,https://www.google.com/maps/place/?q=place_id:ChIJ0ZfdOFf8BTsRgVTgn_4ugeM,part_309,2026-09-20 20:17:09,4428
Janashree Microfin Limited,Microfinance and NBFC,Financial institution,Financial institution,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 471 233 2899,http://janashreemicrofinltd.com/,2.0,2.0,"T.C.44/836, Janasree Bhavan, EVRA-183, School Road, Cotton Hill, Vazhuthacaud, Thiruvananthapuram, Kerala 695014","Cotton Hill, Vazhuthacaud",8.4998725,76.96577169999999,ChIJUcX7Z0u6BTsRXzUsvburT9M,https://www.google.com/maps/place/?q=place_id:ChIJUcX7Z0u6BTsRXzUsvburT9M,part_309,2026-09-20 20:17:09,4429
