business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Greenwood Interiors,Interior Designers,Interior designer,"Interior designer, Architectural designer, Architecture firm, Interior architect office, Interior construction contractor, Interior Decorator",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 90483 83590,https://greenwoodinteriors.in/,4.8,49.0,"Greenwood interiors, Pathanamthitta-Kadammanitta Road, near Juma Masjid, Pathanamthitta, Keralam 689645",689112,9.2662088,76.7856443,ChIJEbCNRxoVBjsRy9cEQqnSbFw,https://www.google.com/maps/place/?q=place_id:ChIJEbCNRxoVBjsRy9cEQqnSbFw,part_304,2026-09-20 20:48:51,2378
De Masters Homes & Interiors,Interior Designers,Interior designer,"Interior designer, Home builder",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 82816 85140,http://www.dmasters.in/,4.9,32.0,"St.Peters Junction, Pathanamthitta Ring Rd, opposite First Cry Store, Pathanamthitta, Keralam 689645",689112,9.265702,76.7780092,ChIJl-s5Pm4VBjsRl2iOSqXC3f0,https://www.google.com/maps/place/?q=place_id:ChIJl-s5Pm4VBjsRl2iOSqXC3f0,part_304,2026-09-20 20:48:51,2379
AGAC Home Interiors Thiruvalla,Interior Designers,Interior designer,Interior designer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 82814 74555,https://agacinteriors.com/,4.2,233.0,"near suzuki bike showroom, Kuttoor, Thiruvalla, Keralam 689106",Kuttoor,9.353437,76.5917657,ChIJf-E3pPUjBjsRnehVoZiiF5E,https://www.google.com/maps/place/?q=place_id:ChIJf-E3pPUjBjsRnehVoZiiF5E,part_304,2026-09-20 20:48:51,2380
Concept Home Decor - Interior & Exterior Styling,Interior Designers,Interior designer,Interior designer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94963 25156,https://www.concepthomedecor.com/,4.9,75.0,"Kuzhikala, Kozhencherry, Keralam 689644",689112,9.2917656,76.71059149999999,ChIJB5_n9HgXBjsRIPG984PAiZc,https://www.google.com/maps/place/?q=place_id:ChIJB5_n9HgXBjsRIPG984PAiZc,part_304,2026-09-20 20:48:51,2381
Krishna interiors Pathanamthitta,Interior Designers,Interior designer,Interior designer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 82811 83029,N/A,4.8,15.0,"Kumbazha, Pulimukku, Pathanamthitta, Keralam 689646",Pulimukku,9.2488166,76.8177486,ChIJ9TG7yY4VBjsRgHAY2qPHhE0,https://www.google.com/maps/place/?q=place_id:ChIJ9TG7yY4VBjsRgHAY2qPHhE0,part_304,2026-09-20 20:48:51,2382
Arcshell Interiors | Thiruvalla,Interior Designers,Interior Decorator,"Interior Decorator, Interior construction contractor",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 99768 00600,http://www.arcshellinterior.com/,5.0,3.0,"Shopping Complex, Archbishops House (Mary Giri Aramana), Room No 501/5, Thiruvalla, Keralam 689101",689112,9.3819283,76.57218209999999,ChIJxWAYLLclBjsRxoN3hu5xIVc,https://www.google.com/maps/place/?q=place_id:ChIJxWAYLLclBjsRxoN3hu5xIVc,part_304,2026-09-20 20:48:51,2383
Wudstar Lifestyles,Interior Designers,Interior designer,"Interior designer, Interior construction contractor, Interior Decorator",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94005 33325,http://wudstar.com/,5.0,13.0,"St Peters Jn, Pathanamthitta Ring Rd, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.2681355,76.7785452,ChIJ7wvIVX8VBjsRguck0ivOqww,https://www.google.com/maps/place/?q=place_id:ChIJ7wvIVX8VBjsRguck0ivOqww,part_304,2026-09-20 20:48:51,2384
P & G INTERIORS,Interior Designers,Interior designer,"Interior designer, Modular home builder",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94478 97112,http://www.thepginteriors.com/,4.9,15.0,"Near, Court Road, Sreemoolam Market, Parass La, Adoor, Keralam 691523","Sreemoolam Market, Parass La",9.157811599999999,76.7323586,ChIJU3G0zWARBjsRA-sCcNJ-Azg,https://www.google.com/maps/place/?q=place_id:ChIJU3G0zWARBjsRA-sCcNJ-Azg,part_304,2026-09-20 20:48:51,2385
MANSION INTERIORS,Interior Designers,Interior designer,Interior designer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 79075 24617,http://mansioninteriors.in/,5.0,11.0,"Adoor, Parakode, Keralam 691554",689112,9.146355999999999,76.7647305,ChIJdQOFSI0TBjsRUvLBIay-AvM,https://www.google.com/maps/place/?q=place_id:ChIJdQOFSI0TBjsRUvLBIay-AvM,part_304,2026-09-20 20:48:51,2386
Zenith Architects - Builders & Interior Designers Mavelikara,Interior Designers,Interior designer,"Interior designer, Real Estate Builders & Construction Company, Home builder, Architect",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97477 74000,https://zenitharchitect.com/,5.0,235.0,"Chettikulangara Temple Rd, East Fort, Chettikulangara, Mavelikara, Keralam 690106","East Fort, Chettikulangara",9.2264164,76.5257007,ChIJMbNnBScfBjsR5j3VmJjnOqY,https://www.google.com/maps/place/?q=place_id:ChIJMbNnBScfBjsR5j3VmJjnOqY,part_304,2026-09-20 20:48:51,2387
"Interio interiors | interior designers in kottayam , Modular kitchen designers",Interior Designers,Interior designer,"Interior designer, Interior Decorator",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 89213 21750,https://www.interiointeriors.com/,4.9,166.0,"opposite Eden Eye Hospital Thekkumgopuram near boat jetty, Thirunakkara S Rd, Kottayam, Keralam 686001",Thekkum Gopuram,9.58786,76.5175294,ChIJq6qqqgkrBjsR2qKjNdKbTF4,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqgkrBjsR2qKjNdKbTF4,part_304,2026-09-20 20:48:51,2388
D101 Architecture + Interior Design,Interior Designers,Interior designer,"Interior designer, Consultant, Architecture firm",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 90486 55486,http://d101.in/,,,"Ground Floor, Nakshatra building, Podiyadi, Thiruvalla, Keralam 689110",Podiyadi,9.3666176,76.5454429,ChIJ6W5bMEMhBjsRCetNljUoVx0,https://www.google.com/maps/place/?q=place_id:ChIJ6W5bMEMhBjsRCetNljUoVx0,part_304,2026-09-20 20:48:51,2389
D'LIFE Home Interiors Kottayam,Interior Designers,Interior designer,"Interior designer, Bedroom furniture store, Furniture maker, Furniture Manufacturer, Furniture store, Home goods store, Interior construction contractor, Interior fitting contractor, Kitchen furniture store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 75589 92222,https://dlifeinteriors.com/location/kottayam/,4.8,531.0,"1st FLOOR, Home Basics Spice, Puthuppally Rd, Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.5845418,76.5460865,ChIJ_Zq8UAorBjsRFuvjB2I-Vys,https://www.google.com/maps/place/?q=place_id:ChIJ_Zq8UAorBjsRFuvjB2I-Vys,part_304,2026-09-20 20:48:51,2390
Sabari Interiors,Interior Designers,Interior designer,Interior designer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 81570 13991,N/A,4.7,3.0,"9GCX+38H, Podiyadi, Thiruvalla, Keralam 689110",Podiyadi,9.3701926,76.5483651,ChIJ9__vIf4jBjsRmmdVEhWqoJU,https://www.google.com/maps/place/?q=place_id:ChIJ9__vIf4jBjsRmmdVEhWqoJU,part_304,2026-09-20 20:48:51,2391
Vasthuhaara Builders,Interior Designers,Interior designer,"Interior designer, Architectural designer, Building consultant, Building designer, Contractor, Building firm, Vastu consultant",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 96334 06563,http://www.instagaram.com/vasthuhaarabuilders,,,"Vattamparambil Building, Ambalappuzha - Thiruvalla Rd, near Chakkulathukaavu Temple, Thalavady, Keralam 689572",689112,9.3689301,76.5157478,ChIJ1dxzs80hBjsRjf0ZLX3Av1E,https://www.google.com/maps/place/?q=place_id:ChIJ1dxzs80hBjsRjf0ZLX3Av1E,part_304,2026-09-20 20:48:51,2392
Second Skin Interior Design Studio,Interior Designers,Interior designer,Interior designer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 77367 37231,N/A,4.8,,"Room No. 9, Panachakunnel building, opposite KSEB office, Kaipattoor, Pathanamthitta, Keralam 689648",689112,9.232221299999999,76.7515966,ChIJP_g-UNEVBjsRd0gUF2QoZKM,https://www.google.com/maps/place/?q=place_id:ChIJP_g-UNEVBjsRd0gUF2QoZKM,part_304,2026-09-20 20:48:52,2393
URBAN INTERIORS,Interior Designers,Interior designer,"Interior designer, Interior architect office, Interior Decorator",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 62827 89101,https://urbaninteriorss.com/,5.0,,"HGVC+3FH, Junction, Baker Rd, Kottayam, Keralam 686001",689112,9.592702599999999,76.5212646,ChIJsSab4TwrBjsR9uZCgYo7eHo,https://www.google.com/maps/place/?q=place_id:ChIJsSab4TwrBjsR9uZCgYo7eHo,part_304,2026-09-20 20:48:52,2394
Melo Interiors,Interior Designers,Interior designer,"Interior designer, Architectural designer, Interior architect office, Interior Decorator",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94963 71438,http://www.melointeriors.com/,4.9,,"Melo Interiors, Mangalam House, 140, Vikas Nagar, near Kalidasa Kendram, Polayathodu, Kollam, Keralam 691021",Polayathodu,8.8812766,76.6093041,ChIJqx3Wa3f9BTsRVMsoh2qtOoQ,https://www.google.com/maps/place/?q=place_id:ChIJqx3Wa3f9BTsRVMsoh2qtOoQ,part_304,2026-09-20 20:48:52,2395
Seven Star Interiors | Trusted Furniture Manufacturer at Pathanamthitta,Interior Designers,Furniture Manufacturer,"Furniture Manufacturer, Bedroom furniture store, Cabinet maker, Furniture accessories, Furniture maker, Furniture repair shop, Furniture store, Furniture wholesaler, Garden Furniture Store, Light bulb supplier",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,https://www.sevenstarinteriors.com/,5.0,,"XI/855,856 KANJIRAPPARA THAZHAM PO MALAYALAPUZHA, Pathanamthitta, Keralam 689666",689112,9.2879877,76.8277481,ChIJt____1IVBjsRqJefJXBqqu0,https://www.google.com/maps/place/?q=place_id:ChIJt____1IVBjsRqJefJXBqqu0,part_304,2026-09-20 20:48:53,2396
James Business Enterprises pvt.Ltd,Interior Designers,Furniture store,"Furniture store, Furniture Manufacturer, Wholesaler",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94972 98492,N/A,4.5,,"Vanchipalam complex, Undaplavu Rd, Podiyadi, Thiruvalla, Keralam 689110",Podiyadi,9.370180699999999,76.5485605,ChIJ5f46ilUhBjsR1SZ6aM2xAOk,https://www.google.com/maps/place/?q=place_id:ChIJ5f46ilUhBjsR1SZ6aM2xAOk,part_304,2026-09-20 20:48:53,2397
Decor Edits,Interior Designers,Interior designer,"Interior designer, Antique store, Christmas store, Collectibles store, Gift shop, Handicraft, Home goods store, Interior Decorator, Home improvement store, Manufacturer",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97787 58496,https://decoredits.com/#HOME,5.0,,"valayil house, near rubber estate, Parumala, Keralam 689626",689112,9.3304376,76.5418316,ChIJdxx-MqwhBjsRE6eiqtqBx7g,https://www.google.com/maps/place/?q=place_id:ChIJdxx-MqwhBjsRE6eiqtqBx7g,part_304,2026-09-20 20:48:53,2398
Swapna Home Decor,Interior Designers,Furniture store,Furniture store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 99466 66839,N/A,4.0,,"SH 1, near Paattupurakkavu Temple, Pandalam, Keralam 689501",689112,9.2289778,76.6778333,ChIJpW92diMXBjsRs54VO5kQzrc,https://www.google.com/maps/place/?q=place_id:ChIJpW92diMXBjsRs54VO5kQzrc,part_304,2026-09-20 20:48:53,2399
