business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MY INNER WORLD THIRUVALLA,Hosiery and Undergarments Wholesaler,Lingerie store,"Lingerie store, Dress store, Maternity store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 90480 20301,http://www.myinnerworld.in/,4.9,,"Deepa Towers, 1st, Thiruvalla, Keralam 689101",689112,9.3883662,76.5753234,ChIJx8Bxr20kBjsRpxecyQv8FAY,https://www.google.com/maps/place/?q=place_id:ChIJx8Bxr20kBjsRpxecyQv8FAY,part_304,2026-09-20 20:48:42,1082
JOCKEY STORE ( CEEKAY ),Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Children's clothing store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 87140 19169,N/A,4.8,,"Muthoor, Thiruvalla, Keralam 689107",Ramanchira,9.395902699999999,76.5695933,ChIJQ54pWYIlBjsRngXZy8EMPjM,https://www.google.com/maps/place/?q=place_id:ChIJQ54pWYIlBjsRngXZy8EMPjM,part_304,2026-09-20 20:48:42,1083
Blossom Exclusive Store - Adoor,Hosiery and Undergarments Wholesaler,Lingerie store,Lingerie store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 79947 62271,https://blossominners.com/,4.9,,"Ayisha Arcade 1, Kayamkulam - Punalur Rd, near Sridhar Jewelers, Kannamkode, Adoor, Keralam 691523",Kannamkode,9.152151,76.7391665,ChIJXZN2XmETBjsRA1dqOcwntRQ,https://www.google.com/maps/place/?q=place_id:ChIJXZN2XmETBjsRA1dqOcwntRQ,part_304,2026-09-20 20:48:42,1084
Jockey Exclusive Store,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Lingerie store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 62387 58327,https://stores.jockey.in/jockey-exclusive-store-kannamkode-adoor-39266/home?utm_source=GBP,4.9,,"Building No 20, 194-5, Kayamkulam - Pathanapuram Rd, near Mariya Hospital, Kannamkode, Adoor, Keralam 691523",Kannamkode,9.152714,76.740887,ChIJzw4BD4oTBjsR4Lyi18LdMkQ,https://www.google.com/maps/place/?q=place_id:ChIJzw4BD4oTBjsR4Lyi18LdMkQ,part_304,2026-09-20 20:48:42,1085
Jockey Exclusive Store,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Lingerie store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 85470 46340,https://stores.jockey.in/jockey-exclusive-store-nannuvakkad-pathanamthitta-18973/home,4.8,,"Elayanattu Complex, Plot No 32/93/94, Thiruvall Kubazha Road, near Renault Showroom, Nannuvakkad, Chittoor, Pathanamthitta, Keralam 689645","Nannuvakkad, Chittoor",9.2678388,76.7740967,ChIJZYFFjcwVBjsRae8a-fHShVw,https://www.google.com/maps/place/?q=place_id:ChIJZYFFjcwVBjsRae8a-fHShVw,part_304,2026-09-20 20:48:42,1086
Daily Touch,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Lingerie store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97446 33268,N/A,5.0,,"V.A.I Pady, Amritha Hospital Road, Edappally North, AIMS P.O, Edappally, Ernakulam, Keralam 682041","Edappally North, AIMS P.O, Edappally",10.0393485,76.2992767,ChIJVzGyMFcNCDsRP86TcG2l2Oc,https://www.google.com/maps/place/?q=place_id:ChIJVzGyMFcNCDsRP86TcG2l2Oc,part_304,2026-09-20 20:48:42,1087
Prithvi Inner Wears Corporate Office,Hosiery and Undergarments Wholesaler,Lingerie manufacturer,Lingerie manufacturer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 1800 572 7703,http://www.prithviinnerwears.com/,4.5,,"SF No. 5, 178-D, Jeeva Nagar, Extension, Sultanpet, Mangalam, Tamil Nadu 641663","Jeeva Nagar, Extension, Sultanpet",11.0979443,77.2883185,ChIJlaEMNbKyqTsR8CjGaAlQvkc,https://www.google.com/maps/place/?q=place_id:ChIJlaEMNbKyqTsR8CjGaAlQvkc,part_304,2026-09-20 20:48:42,1088
Jockey Exclusive Store,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Lingerie store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.8,,"7Q9R+G93, X1/544-1, 544-2, 544-3 Kurungattu Complex, Pathanamthitta Ring Rd, Pathanamthitta, Keralam 689645",689112,9.268761699999999,76.7909085,ChIJ68k2OEUVBjsRV7u0sqIeGL8,https://www.google.com/maps/place/?q=place_id:ChIJ68k2OEUVBjsRV7u0sqIeGL8,part_304,2026-09-20 20:48:42,1089
Zie clothing,Hosiery and Undergarments Wholesaler,Baby store,"Baby store, Supplier, Wholesaler",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98958 81881,http://www.zieclothing.in/,4.4,10.0,"86 D, near Supplyco. Super Market, Vadakkadathukavu, Adoor, Kerala 691526",689112,9.132532399999999,76.7364279,ChIJHZxMO0oTBjsRBil_HJBA7_Q,https://www.google.com/maps/place/?q=place_id:ChIJHZxMO0oTBjsRBil_HJBA7_Q,part_304,2026-09-20 20:48:43,1090
CATWALK KANJIKUZHY,Hosiery and Undergarments Wholesaler,Underwear store,"Underwear store, Lingerie store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98479 11001,https://www.facebook.com/profile.php?id=100089441717025&mibextid=LQQJ4d,4.9,,"Catholic Trust Building, Kottayam - Kumily Rd, opp. Union Bank, in front of Pantaloons, Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.5881578,76.5397414,ChIJZ_MCt50rBjsRTr_dun_BLI8,https://www.google.com/maps/place/?q=place_id:ChIJZ_MCt50rBjsRTr_dun_BLI8,part_304,2026-09-20 20:48:43,1091
Go Colors - Thiruvalla | Women's Bottom Wear,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Clothing alteration service, Formal Clothing Store, Plus Size Clothing Store, Western apparel store, Women's clothing store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 469 290 9290,https://gocolors.com/apps/s/storelocators/kerala/thiruvalla/Thiruvalla%20-%20Store1619,4.4,,"Ramanchira, Thiruvalla, Keralam 689107",Ramanchira,9.3947209,76.5705237,ChIJFy9Jfr8lBjsREZeNmh92GZI,https://www.google.com/maps/place/?q=place_id:ChIJFy9Jfr8lBjsREZeNmh92GZI,part_304,2026-09-20 20:48:43,1092
Nesta Trendy Fabrics,Hosiery and Undergarments Wholesaler,Lingerie store,Lingerie store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 79078 28049,https://site.dgtechsoln.com/nesta-trendy-fabrics/,4.9,,"CKS Arcade, Gandhi Bazar Rd, opp. Balakrishna Complex, Santhi Nagar, Sultanpet, Palakkad, Keralam 678001","Santhi Nagar, Sultanpet",10.7731889,76.6550108,ChIJi1doftJtqDsRTtp5ykbs6So,https://www.google.com/maps/place/?q=place_id:ChIJi1doftJtqDsRTtp5ykbs6So,part_304,2026-09-20 20:48:43,1093
Lee Fabia,Hosiery and Undergarments Wholesaler,Clothing manufacturer,"Clothing manufacturer, Clothing supplier, Clothing wholesaler, Knitwear manufacturer, Lingerie manufacturer, Lingerie wholesaler",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94965 96121,http://www.leefabia.com/,4.5,,"P.O, T.C 24/216,TSGRA 70, near Sasthamkovil, Thycaud, Thiruvananthapuram, Keralam 695014",Thycaud,8.4927022,76.9597019,ChIJi_vIKaO7BTsR_VUEVgiKWjA,https://www.google.com/maps/place/?q=place_id:ChIJi_vIKaO7BTsR_VUEVgiKWjA,part_304,2026-09-20 20:48:43,1094
Philo Rose's Lingerie,Hosiery and Undergarments Wholesaler,Lingerie store,Lingerie store,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 73568 55588,N/A,4.7,145.0,"Metro Pillar No, Pearl Complex, 530, opp. Federal Bank, Palarivattom, Kochi, Ernakulam, Keralam 682025",Palarivattom,10.002685,76.3040929,ChIJk_blMS8NCDsRA72Jp1aeOuQ,https://www.google.com/maps/place/?q=place_id:ChIJk_blMS8NCDsRA72Jp1aeOuQ,part_304,2026-09-20 20:49:18,5256
VStar Creations Pvt Ltd; Corporate Office,Hosiery and Undergarments Wholesaler,Corporate office,"Corporate office, Clothing store",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 484 275 9999,http://www.vstar.in/,4.4,96.0,"Door No: VI/963 AB, V-Star Tower, Near Thrikkakara Temple,, Model Engineering College Road, Thrikkakara,, Ernakulam, Keralam 682021","Thrikkakara, Edappally",10.0339528,76.3295265,ChIJsyQejUUMCDsRq1TOVqsESbk,https://www.google.com/maps/place/?q=place_id:ChIJsyQejUUMCDsRq1TOVqsESbk,part_304,2026-09-20 20:49:19,5257
Novelty Textiles,Hosiery and Undergarments Wholesaler,Wholesaler,Wholesaler,689115,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,Thirumoolapuram SO,+91 484 288 3400,N/A,4.5,,"Market Rd, opposite South Indian Bank, Cloth Bazar, Shenoys, Kochi, Ernakulam, Keralam 682035","Cloth Bazar, Shenoys",9.978510499999999,76.2790729,ChIJQ_anB3lzCDsREUSLrMDs1-I,https://www.google.com/maps/place/?q=place_id:ChIJQ_anB3lzCDsREUSLrMDs1-I,part_304,2026-09-20 20:49:55,7489
MANGLI HOSIERY,Hosiery and Undergarments Wholesaler,Underwear store,"Underwear store, Clothing wholesaler, Lingerie store, Lingerie wholesaler, Swimwear store, Wholesaler",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 93126 37106,http://www.hosierykart.in/,4.1,,"Main Market, 402, Ambedkar Rd, Turab Nagar, Naya Ganj, Ghaziabad, Uttar Pradesh 201001","Turab Nagar, Naya Ganj",28.660126599999998,77.43416289999999,ChIJVVVVGc_xDDkR8Jmai9HFKA8,https://www.google.com/maps/place/?q=place_id:ChIJVVVVGc_xDDkR8Jmai9HFKA8,part_304,2026-09-20 20:50:30,8814
Amar Hosiery,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Baby clothing store, Clothing wholesaler, Lingerie store, Lingerie wholesaler, Underwear store",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 87502 83757,N/A,4.1,,"A-176,Hastsal Road, Gali Number 2, near Kamal Public School, Uttam Nagar, New Delhi, Delhi 110059","B Block, JJ Colony, Uttam Nagar",28.623975899999998,77.06189379999999,ChIJ7Y0xZ9kEDTkRuoq3I_vbgiA,https://www.google.com/maps/place/?q=place_id:ChIJ7Y0xZ9kEDTkRuoq3I_vbgiA,part_304,2026-09-20 20:50:30,8815
Hari Om Traders,Hosiery and Undergarments Wholesaler,Lingerie store,"Lingerie store, Belt shop, Childrens Store, Clothing wholesaler, Exporter, Leather goods store, Brasserie, Underwear store, Wholesaler, Women's clothing store",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 88001 10460,http://hariomtraders.net/,4.7,,"1111,1st Floor, Gali no 18, Rithala Rd, Rithala Extension, Rithala, Village, Delhi, 110085","Rithala Extension, Rithala, Village",28.7213866,77.1011146,ChIJHUgSDPkDDTkRPYg7FcNIEz4,https://www.google.com/maps/place/?q=place_id:ChIJHUgSDPkDDTkRPYg7FcNIEz4,part_304,2026-09-20 20:50:30,8816
Nice Collection Delhi,Hosiery and Undergarments Wholesaler,Lingerie wholesaler,"Lingerie wholesaler, Bridal shop, Clothing store, Importer, Lingerie store, Sportswear store, Swimwear store, Underwear store",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 93117 09030,http://nicecollection39.com/,4.8,,"Shop No. 39 First Floor, Gaffar Market, Ghaffar Market, Block 23, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005","Ghaffar Market, Block 23, Beadonpura, Karol Bagh",28.6495505,77.1909518,ChIJw2dhEJ4CDTkRE7eRZcob4zw,https://www.google.com/maps/place/?q=place_id:ChIJw2dhEJ4CDTkRE7eRZcob4zw,part_304,2026-09-20 20:50:30,8817
