business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
A.K Fish and Chicken Centre,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97442 39966,N/A,4.5,11.0,"Puthoo Parambil House, SH 6, Thiruvalla, Keralam 689101",689112,9.3794076,76.5618143,ChIJNyZfsuQlBjsRrW5mcshIb8I,https://www.google.com/maps/place/?q=place_id:ChIJNyZfsuQlBjsRrW5mcshIb8I,part_304,2026-09-20 20:48:35,31
Manna Chicken Centre & Fish Park,Meat and Poultry Shop,Meat products store,Meat products store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98474 24689,N/A,3.7,19.0,"Thiruvalla, Kerala 689101",689112,9.379232799999999,76.56026419999999,ChIJefWHhSklBjsRagcW_biOmCc,https://www.google.com/maps/place/?q=place_id:ChIJefWHhSklBjsRagcW_biOmCc,part_304,2026-09-20 20:48:35,32
Meat Shop,Meat and Poultry Shop,Meat products store,Meat products store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,3.9,7.0,"7R4F+XQX, Vettoor, Pathanamthitta, Konnithazham, Keralam 689653",Vettoor,9.2574809,76.8244782,ChIJ30FZRqUVBjsRhbBp8oV5KIE,https://www.google.com/maps/place/?q=place_id:ChIJ30FZRqUVBjsRhbBp8oV5KIE,part_304,2026-09-20 20:48:35,33
AJAY HATCHERIES,Meat and Poultry Shop,Poultry farm,Poultry farm,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.7,57.0,"CQPM+5FP, Valiyakavu, Ranni, Keralam 689675",689112,9.4354582,76.7837048,ChIJC05WlP05BjsRP8K3Y8DKRwU,https://www.google.com/maps/place/?q=place_id:ChIJC05WlP05BjsRP8K3Y8DKRwU,part_304,2026-09-20 20:48:35,34
AK Chicken centre,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 80783 64898,N/A,4.3,12.0,"6M6H+JCQ, Pandalam, Keralam 689515",689112,9.2115947,76.6786024,ChIJ1cx4ZYwXBjsRD_dOZKQbLeQ,https://www.google.com/maps/place/?q=place_id:ChIJ1cx4ZYwXBjsRD_dOZKQbLeQ,part_304,2026-09-20 20:48:35,35
Trait The Taste,Meat and Poultry Shop,Meat products store,Meat products store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.7,3.0,"7Q4Q+GJG, Poomkavu - Pathanamthitta Rd, Chuttipara, Azhoor, Pathanamthitta, Keralam 689646","Chuttipara, Azhoor",9.256304499999999,76.78907319999999,ChIJj9VJRKYVBjsRfHyMIceMBBk,https://www.google.com/maps/place/?q=place_id:ChIJj9VJRKYVBjsRfHyMIceMBBk,part_304,2026-09-20 20:48:35,36
Deepam poultry farm ( government approved)എഗ്ഗർ നഴ്സറി പാടിമൺ,Meat and Poultry Shop,Poultry farm,Poultry farm,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98471 19816,N/A,4.4,5.0,"Padimon, Mallappally, Keralam 689587",689112,9.4401726,76.6883479,ChIJ-d7vxTM7BjsR71MkK3VKygQ,https://www.google.com/maps/place/?q=place_id:ChIJ-d7vxTM7BjsR71MkK3VKygQ,part_304,2026-09-20 20:48:35,37
CHINNU'S DAILY FRESH MEAT & COLD STORAGE,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.0,13.0,"Bus Stop, Paramoottum Padi, Mavelikkara - Chengannur - Kozhenchery Rd, Mallapuzhassery, Keralam 689533",689112,9.3272914,76.6969654,ChIJn5VOz2E9BjsRqyogmBdaUCE,https://www.google.com/maps/place/?q=place_id:ChIJn5VOz2E9BjsRqyogmBdaUCE,part_304,2026-09-20 20:48:35,38
KJB Chicken Center,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,3.0,1.0,"9HH4+8CP, Manipuzha Peringara Rd, Kavumbhagom, Thiruvalla, Keralam 689102",689112,9.378302999999999,76.5561037,ChIJwcuhdgAlBjsRy4Gb-dKVfzE,https://www.google.com/maps/place/?q=place_id:ChIJwcuhdgAlBjsRy4Gb-dKVfzE,part_304,2026-09-20 20:48:35,39
New Chicken Centre,Meat and Poultry Shop,Meat products store,Meat products store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94970 35252,N/A,4.0,,"Edayaranmula Bus Stop, Kozhipalam, Keralam 689532",Kozhipalam,9.3292471,76.6751608,ChIJNeWd_qM9BjsRY2AcTOqZGaE,https://www.google.com/maps/place/?q=place_id:ChIJNeWd_qM9BjsRY2AcTOqZGaE,part_304,2026-09-20 20:48:36,40
