business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Superteam Builders and Development Pvt Ltd. pathanamthitta,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 70257 17171,http://superteam.in/,4.8,73.0,"St. Peter's Junction Bus Stop, Thiruvalla-Kumbazha Highway, SH-7, Chittoor, Pathanamthitta, Kerala 689645",Chittoor,9.2668483,76.7770441,ChIJ2YLwNgYVBjsR_4EIEJCi0OQ,https://www.google.com/maps/place/?q=place_id:ChIJ2YLwNgYVBjsR_4EIEJCi0OQ,part_304,2026-09-20 20:48:52,2581
Navanirmithi,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94956 58144,https://www.navanirmithi.co.in/,5.0,21.0,"Mylapra, Pathanamthitta, Mylapra part, Keralam 689645",Mylapra,9.2886157,76.79774119999999,ChIJt3nyw0UVBjsR7KAAmRvmF3E,https://www.google.com/maps/place/?q=place_id:ChIJt3nyw0UVBjsR7KAAmRvmF3E,part_304,2026-09-20 20:48:52,2582
VKK Construction,Civil Contractor and Builder,Home builder,Home builder,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 91882 65428,N/A,5.0,12.0,"AVM Buildings, Pathanamthitta, Keralam 689645",689112,9.2688127,76.7883824,ChIJ8epO2AYVBjsR-VIdI_widK8,https://www.google.com/maps/place/?q=place_id:ChIJ8epO2AYVBjsR-VIdI_widK8,part_304,2026-09-20 20:48:52,2583
"Matha Constructions,Pathanamthitta",Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94474 00869,N/A,5.0,25.0,"Vadakkeveetil Buildings, opposite KSRTC, Pathanamthitta, Keralam 689645",689112,9.2672843,76.7886544,ChIJl7DDV54VBjsRw5NQpz6PAEY,https://www.google.com/maps/place/?q=place_id:ChIJl7DDV54VBjsRw5NQpz6PAEY,part_304,2026-09-20 20:48:52,2584
TeamForce Infrastructure Private Limited,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Solar Energy Company, Solar energy system service",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94968 48612,N/A,4.9,19.0,"TeamForce Infrastructure Private Limited Kannanethu Building, Pathanamthitta Ring Rd, next to St. Steephen's Auditorium, Pathanamthitta, Keralam 689645",Mannaramala,9.263272899999999,76.7784283,ChIJmas1ACUVBjsRVq4bKvb_M34,https://www.google.com/maps/place/?q=place_id:ChIJmas1ACUVBjsRVq4bKvb_M34,part_304,2026-09-20 20:48:52,2585
Buildtech Builders,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architect, Architectural designer, Architecture firm, Civil engineering company, Home builder, Interior construction contractor, Interior designer, Real estate developer",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 70252 56000,https://www.buildtechbuilders.com/,4.8,164.0,"Parass La, Adoor, Keralam 691523",Parass La,9.1532947,76.7345564,ChIJjdajM4YRBjsRuD1aSZOOf8I,https://www.google.com/maps/place/?q=place_id:ChIJjdajM4YRBjsRuD1aSZOOf8I,part_304,2026-09-20 20:48:52,2586
NEEMA BUILDERS,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architecture firm, Building consultant",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94470 22536,N/A,4.4,9.0,"THYKAVU HSS ROAD, Pathanamthitta, Keralam 689645",689112,9.2683971,76.7887835,ChIJLSfdXg4VBjsRL5AOgWRH2vY,https://www.google.com/maps/place/?q=place_id:ChIJLSfdXg4VBjsRL5AOgWRH2vY,part_304,2026-09-20 20:48:52,2587
MTC BUILDER'S AND DEVELOPER'S,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Building consultant, Building designer",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 90748 48665,http://www.mtcbuilders.com/,5.0,3.0,"Karibanamkuzhiyil building, same Edans Bakery building, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2417876,76.75568679999999,ChIJ_dpbgWoVBjsR3yht0QOQOvQ,https://www.google.com/maps/place/?q=place_id:ChIJ_dpbgWoVBjsR3yht0QOQOvQ,part_304,2026-09-20 20:48:52,2588
Devu homes India LLP,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 86068 30211,https://devuhomesservice.company/,5.0,1.0,"Kanjirathumoottil building, Mallappally road, Vennikulam, Keralam 689545",689112,9.4059834,76.6688672,ChIJT-p143M7BjsR3XzX3BXAaGQ,https://www.google.com/maps/place/?q=place_id:ChIJT-p143M7BjsR3XzX3BXAaGQ,part_304,2026-09-20 20:48:52,2589
Blooms Constructions,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architect, Architecture firm, Bathroom remodeler, Interior Decorator, Interior designer, Kitchen remodeler, Metal construction company, Real estate developer, Remodeler",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 77367 89589,https://bloomsconstructions.com/,4.6,51.0,"Kompady, Manjadi, Keralam 689105",Kompady,9.387006999999999,76.5918552,ChIJp0qa1XwkBjsRB4O3ogXaURs,https://www.google.com/maps/place/?q=place_id:ChIJp0qa1XwkBjsRB4O3ogXaURs,part_304,2026-09-20 20:48:52,2590
